,Survived,PassengerId,Pclass,Is female,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,SOTON ticket,STON ticket,C.A. ticket,PC ticket,Undefined ticket,Other tickets
325,0,759,3,0,34.0,0,0,8.05,0,0,1,0,0,0,0,1,0
329,0,183,3,0,9.0,4,2,31.3875,0,0,1,0,0,0,0,1,0
330,1,678,3,1,18.0,0,0,9.8417,0,0,1,0,0,0,0,1,0
331,0,663,1,0,47.0,0,0,25.5875,0,0,1,0,0,0,0,1,0
332,0,488,1,0,58.0,0,0,29.7,1,0,0,0,0,0,0,1,0
333,0,379,3,0,20.0,0,0,4.0125,1,0,0,0,0,0,0,1,0
334,0,776,3,0,18.0,0,0,7.75,0,0,1,0,0,0,0,1,0
335,1,357,1,1,22.0,0,1,55.0,0,0,1,0,0,0,0,1,0
336,1,454,1,0,49.0,1,0,89.1042,1,0,0,0,0,0,0,1,0
337,0,52,3,0,21.0,0,0,7.8,0,0,1,0,0,0,0,0,1
340,1,541,1,1,36.0,0,2,71.0,0,0,1,0,0,0,0,0,1
341,0,442,3,0,20.0,0,0,9.5,0,0,1,0,0,0,0,1,0
342,0,363,3,1,45.0,0,1,14.4542,1,0,0,0,0,0,0,1,0
343,0,334,3,0,16.0,2,0,18.0,0,0,1,0,0,0,0,1,0
344,1,797,1,1,49.0,0,0,25.9292,0,0,1,0,0,0,0,1,0
346,0,226,3,0,22.0,0,0,9.35,0,0,1,0,0,0,0,0,1
347,0,669,3,0,43.0,0,0,8.05,0,0,1,0,0,0,0,0,1
348,1,636,2,1,28.0,0,0,13.0,0,0,1,0,0,0,0,1,0
349,1,341,2,0,2.0,1,1,26.0,0,0,1,0,0,0,0,1,0
350,1,306,1,0,0.92,1,2,151.55,0,0,1,0,0,0,0,1,0
351,0,106,3,0,28.0,0,0,7.8958,0,0,1,0,0,0,0,1,0
352,0,253,1,0,62.0,0,0,26.55,0,0,1,0,0,0,0,1,0
353,0,139,3,0,16.0,0,0,9.2167,0,0,1,0,0,0,0,1,0
354,0,133,3,1,47.0,1,0,14.5,0,0,1,0,0,0,0,0,1
355,1,652,2,1,18.0,0,1,23.0,0,0,1,0,0,0,0,1,0
357,0,811,3,0,26.0,0,0,7.8875,0,0,1,0,0,0,0,1,0
358,1,551,1,0,17.0,0,2,110.8833,1,0,0,0,0,0,0,1,0
359,0,378,1,0,27.0,0,2,211.5,1,0,0,0,0,0,0,1,0
360,1,578,1,1,39.0,1,0,55.9,0,0,1,0,0,0,0,1,0
361,0,279,3,0,7.0,4,1,29.125,0,1,0,0,0,0,0,1,0
362,0,493,1,0,55.0,0,0,30.5,0,0,1,0,0,0,0,1,0
363,0,286,3,0,33.0,0,0,8.6625,1,0,0,0,0,0,0,1,0
364,0,123,2,0,32.5,1,0,30.0708,1,0,0,0,0,0,0,1,0
365,0,175,1,0,56.0,0,0,30.6958,1,0,0,0,0,0,0,1,0
366,1,391,1,0,36.0,1,2,120.0,0,0,1,0,0,0,0,1,0
367,1,511,3,0,29.0,0,0,7.75,0,1,0,0,0,0,0,1,0
368,1,802,2,1,31.0,1,1,26.25,0,0,1,0,0,1,0,0,0
369,1,346,2,1,24.0,0,0,13.0,0,0,1,0,0,0,0,1,0
370,1,142,3,1,22.0,0,0,7.75,0,0,1,0,0,0,0,1,0
371,0,568,3,1,29.0,0,4,21.075,0,0,1,0,0,0,0,1,0
372,0,817,3,1,23.0,0,0,7.925,0,0,1,0,1,0,0,0,0
374,1,417,2,1,34.0,1,1,32.5,0,0,1,0,0,0,0,1,0
375,1,766,1,1,51.0,1,0,77.9583,0,0,1,0,0,0,0,1,0
376,1,408,2,0,3.0,1,1,18.75,0,0,1,0,0,0,0,1,0
377,0,103,1,0,21.0,0,1,77.2875,0,0,1,0,0,0,0,1,0
378,0,266,2,0,36.0,0,0,10.5,0,0,1,0,0,1,0,0,0
379,0,737,3,1,48.0,1,3,34.375,0,0,1,0,0,0,0,0,1
380,1,26,3,1,38.0,1,5,31.3875,0,0,1,0,0,0,0,1,0
381,0,679,3,1,43.0,1,6,46.9,0,0,1,0,0,0,0,0,1
383,1,538,1,1,30.0,0,0,106.425,1,0,0,0,0,0,1,0,0
384,0,198,3,0,42.0,0,1,8.4042,0,0,1,0,0,0,0,1,0
385,0,818,2,0,31.0,1,1,37.0042,1,0,0,0,0,0,0,0,1
386,1,143,3,1,24.0,1,0,15.85,0,0,1,0,1,0,0,0,0
387,1,782,1,1,17.0,1,0,57.0,0,0,1,0,0,0,0,1,0
388,0,51,3,0,7.0,4,1,39.6875,0,0,1,0,0,0,0,1,0
389,1,12,1,1,58.0,0,0,26.55,0,0,1,0,0,0,0,1,0
390,0,595,2,0,37.0,1,0,26.0,0,0,1,0,0,0,0,0,1
391,1,513,1,0,36.0,0,0,26.2875,0,0,1,0,0,0,1,0,0
392,1,610,1,1,40.0,0,0,153.4625,0,0,1,0,0,0,1,0,0
394,1,323,2,1,30.0,0,0,12.35,0,1,0,0,0,0,0,1,0
395,1,280,3,1,35.0,1,1,20.25,0,0,1,0,0,1,0,0,0
396,0,397,3,1,31.0,0,0,7.8542,0,0,1,0,0,0,0,1,0
397,0,886,3,1,39.0,0,5,29.125,0,1,0,0,0,0,0,1,0
398,1,682,1,0,27.0,0,0,76.7292,1,0,0,0,0,0,1,0,0
399,0,38,3,0,21.0,0,0,8.05,0,0,1,0,0,0,0,0,1
400,0,696,2,0,52.0,0,0,13.5,0,0,1,0,0,0,0,1,0
401,1,231,1,1,35.0,1,0,83.475,0,0,1,0,0,0,0,1,0
403,1,310,1,1,30.0,0,0,56.9292,1,0,0,0,0,0,1,0,0
405,0,758,2,0,18.0,0,0,11.5,0,0,1,0,0,0,0,1,0
406,1,633,1,0,32.0,0,0,30.5,1,0,0,0,0,0,0,1,0
408,1,605,1,0,35.0,0,0,26.55,1,0,0,0,0,0,0,1,0
411,1,16,2,1,55.0,0,0,16.0,0,0,1,0,0,0,0,1,0
412,0,288,3,0,22.0,0,0,7.8958,0,0,1,0,0,0,0,1,0
413,1,619,2,1,4.0,2,1,39.0,0,0,1,0,0,0,0,1,0
414,1,59,2,1,5.0,1,2,27.75,0,0,1,0,0,1,0,0,0
415,1,276,1,1,63.0,1,0,77.9583,0,0,1,0,0,0,0,1,0
416,0,750,3,0,31.0,0,0,7.75,0,1,0,0,0,0,0,1,0
419,0,247,3,1,25.0,0,0,7.775,0,0,1,0,0,0,0,1,0
420,1,205,3,0,18.0,0,0,8.05,0,0,1,0,0,0,0,0,1
421,1,98,1,0,23.0,0,1,63.3583,1,0,0,0,0,0,1,0,0
422,0,318,2,0,54.0,0,0,14.0,0,0,1,0,0,0,0,1,0
423,0,91,3,0,29.0,0,0,8.05,0,0,1,0,0,0,0,1,0
424,0,783,1,0,29.0,0,0,30.0,0,0,1,0,0,0,0,1,0
425,0,76,3,0,25.0,0,0,7.65,0,0,1,0,0,0,0,1,0
426,0,506,1,0,18.0,1,0,108.9,1,0,0,0,0,0,1,0,0
428,1,867,2,1,27.0,1,0,13.8583,1,0,0,0,0,0,0,0,1
429,0,606,3,0,36.0,1,0,15.55,0,0,1,0,0,0,0,1,0
431,1,134,2,1,29.0,1,0,26.0,0,0,1,0,0,0,0,1,0
432,0,762,3,0,41.0,0,0,7.125,0,0,1,1,0,0,0,0,0
433,1,195,1,1,44.0,0,0,27.7208,1,0,0,0,0,0,1,0,0
434,0,720,3,0,33.0,0,0,7.775,0,0,1,0,0,0,0,1,0
435,0,583,2,0,54.0,0,0,26.0,0,0,1,0,0,0,0,1,0
436,0,483,3,0,50.0,0,0,8.05,0,0,1,0,0,0,0,0,1
437,0,396,3,0,22.0,0,0,7.7958,0,0,1,0,0,0,0,1,0
438,0,100,2,0,34.0,1,0,26.0,0,0,1,0,0,0,0,1,0
439,0,772,3,0,48.0,0,0,7.8542,0,0,1,0,0,0,0,1,0
440,0,81,3,0,22.0,0,0,9.0,0,0,1,0,0,0,0,1,0
441,1,188,1,0,45.0,0,0,26.55,0,0,1,0,0,0,0,1,0
442,0,576,3,0,19.0,0,0,14.5,0,0,1,0,0,0,0,1,0
443,1,324,2,1,22.0,1,1,29.0,0,0,1,0,0,0,0,1,0
444,1,427,2,1,28.0,1,0,26.0,0,0,1,0,0,0,0,1,0
445,1,586,1,1,18.0,0,2,79.65,0,0,1,0,0,0,0,1,0
446,1,557,1,1,48.0,1,0,39.6,1,0,0,0,0,0,0,1,0
447,1,572,1,1,53.0,2,0,51.4792,0,0,1,0,0,0,0,1,0
449,1,713,1,0,48.0,1,0,52.0,0,0,1,0,0,0,0,1,0
451,0,55,1,0,65.0,0,1,61.9792,1,0,0,0,0,0,0,1,0
453,0,387,3,0,1.0,5,2,46.9,0,0,1,0,0,0,0,0,1
455,1,194,2,0,3.0,1,1,26.0,0,0,1,0,0,0,0,1,0
456,0,643,3,1,2.0,3,2,27.9,0,0,1,0,0,0,0,1,0
457,1,44,2,1,3.0,1,2,41.5792,1,0,0,0,0,0,0,0,1
458,1,40,3,1,14.0,1,0,11.2417,1,0,0,0,0,0,0,1,0
459,1,588,1,0,60.0,1,1,79.2,1,0,0,0,0,0,0,1,0
460,0,380,3,0,19.0,0,0,7.775,0,0,1,0,0,0,0,1,0
461,0,423,3,0,29.0,0,0,7.875,0,0,1,0,0,0,0,1,0
462,1,600,1,0,49.0,1,0,56.9292,1,0,0,0,0,0,1,0,0
463,0,542,3,1,9.0,4,2,31.275,0,0,1,0,0,0,0,1,0
464,0,535,3,1,30.0,0,0,8.6625,0,0,1,0,0,0,0,1,0
465,1,804,3,0,0.42,0,1,8.5167,1,0,0,0,0,0,0,1,0
466,1,866,2,1,42.0,0,0,13.0,0,0,1,0,0,0,0,1,0
467,0,504,3,1,37.0,0,0,9.5875,0,0,1,0,0,0,0,1,0
468,0,647,3,0,19.0,0,0,7.8958,0,0,1,0,0,0,0,1,0
469,0,749,1,0,19.0,1,0,53.1,0,0,1,0,0,0,0,1,0
470,1,821,1,1,52.0,1,1,93.5,0,0,1,0,0,0,0,1,0
471,1,787,3,1,18.0,0,0,7.4958,0,0,1,0,0,0,0,1,0
472,1,184,2,0,1.0,2,1,39.0,0,0,1,0,0,0,0,1,0
473,0,852,3,0,74.0,0,0,7.775,0,0,1,0,0,0,0,1,0
475,0,163,3,0,26.0,0,0,7.775,0,0,1,0,0,0,0,1,0
477,0,220,2,0,30.0,0,0,10.5,0,0,1,0,0,0,0,0,1
478,0,245,3,0,30.0,0,0,7.225,1,0,0,0,0,0,0,1,0
479,0,422,3,0,21.0,0,0,7.7333,0,1,0,0,0,0,0,0,1
480,0,884,2,0,28.0,0,0,10.5,0,0,1,1,0,1,0,0,0
481,0,453,1,0,30.0,0,0,27.75,1,0,0,0,0,0,0,1,0
482,0,841,3,0,20.0,0,0,7.925,0,0,1,1,0,0,0,0,0
483,0,264,1,0,40.0,0,0,0.0,0,0,1,0,0,0,0,1,0
484,1,381,1,1,42.0,0,0,227.525,1,0,0,0,0,0,1,0,0
485,1,24,1,0,28.0,0,0,35.5,0,0,1,0,0,0,0,1,0
486,1,708,1,0,42.0,0,0,26.2875,0,0,1,0,0,0,1,0,0
487,0,15,3,1,14.0,0,0,7.8542,0,0,1,0,0,0,0,1,0
488,0,703,3,1,18.0,0,1,14.4542,1,0,0,0,0,0,0,1,0
489,0,549,3,0,33.0,1,1,20.525,0,0,1,0,0,0,0,1,0
490,1,54,2,1,29.0,1,0,26.0,0,0,1,0,0,0,0,1,0
491,0,495,3,0,21.0,0,0,8.05,0,0,1,0,0,0,0,0,1
492,0,686,2,0,25.0,1,2,41.5792,1,0,0,0,0,0,0,0,1
493,0,116,3,0,21.0,0,0,7.925,0,0,1,0,1,0,0,0,0
494,0,105,3,0,37.0,2,0,7.925,0,0,1,0,0,0,0,1,0
495,1,738,1,0,35.0,0,0,512.3292,1,0,0,0,0,0,1,0,0
496,1,798,3,1,31.0,0,0,8.6833,0,0,1,0,0,0,0,1,0
497,0,615,3,0,35.0,0,0,8.05,0,0,1,0,0,0,0,1,0
498,0,815,3,0,30.5,0,0,8.05,0,0,1,0,0,0,0,1,0
499,0,161,3,0,44.0,0,1,16.1,0,0,1,0,0,0,0,1,0
500,1,863,1,1,48.0,0,0,25.9292,0,0,1,0,0,0,0,1,0
503,0,58,3,0,28.5,0,0,7.2292,1,0,0,0,0,0,0,1,0
504,0,237,2,0,44.0,1,0,26.0,0,0,1,0,0,0,0,1,0
505,0,882,3,0,33.0,0,0,7.8958,0,0,1,0,0,0,0,1,0
506,0,788,3,0,8.0,4,1,29.125,0,1,0,0,0,0,0,1,0
508,0,673,2,0,70.0,0,0,10.5,0,0,1,0,0,1,0,0,0
509,0,478,3,0,29.0,1,0,7.0458,0,0,1,0,0,0,0,1,0
510,0,322,3,0,27.0,0,0,7.8958,0,0,1,0,0,0,0,1,0
511,0,800,3,1,30.0,1,1,24.15,0,0,1,0,0,0,0,1,0
513,0,1,3,0,22.0,1,0,7.25,0,0,1,0,0,0,0,0,1
514,0,883,3,1,22.0,0,0,10.5167,0,0,1,0,0,0,0,1,0
515,0,546,1,0,64.0,0,0,26.0,0,0,1,0,0,0,0,1,0
516,1,756,2,0,0.67,1,1,14.5,0,0,1,0,0,0,0,1,0
517,0,501,3,0,17.0,0,0,8.6625,0,0,1,0,0,0,0,1,0
518,0,35,1,0,28.0,1,0,82.1708,1,0,0,0,0,0,1,0,0
519,0,156,1,0,51.0,0,1,61.3792,1,0,0,0,0,0,1,0,0
520,1,212,2,1,35.0,0,0,21.0,0,0,1,0,0,0,0,0,1
521,0,704,3,0,25.0,0,0,7.7417,0,1,0,0,0,0,0,1,0
522,0,877,3,0,20.0,0,0,9.8458,0,0,1,0,0,0,0,1,0
524,1,474,2,1,23.0,0,0,13.7917,1,0,0,0,0,0,0,0,1
525,1,870,3,0,4.0,1,1,11.1333,0,0,1,0,0,0,0,1,0
526,0,71,2,0,32.0,0,0,10.5,0,0,1,0,0,1,0,0,0
527,0,353,3,0,15.0,1,1,7.2292,1,0,0,0,0,0,0,1,0
529,0,489,3,0,30.0,0,0,8.05,0,0,1,0,0,0,0,0,1
530,0,627,2,0,57.0,0,0,12.35,0,1,0,0,0,0,0,1,0
531,0,522,3,0,22.0,0,0,7.8958,0,0,1,0,0,0,0,1,0
532,1,527,2,1,50.0,0,0,10.5,0,0,1,0,0,0,0,0,1
533,0,638,2,0,31.0,1,1,26.25,0,0,1,0,0,1,0,0,0
534,0,340,1,0,45.0,0,0,35.5,0,0,1,0,0,0,0,1,0
537,0,111,1,0,47.0,0,0,52.0,0,0,1,0,0,0,0,1,0
538,0,796,2,0,39.0,0,0,13.0,0,0,1,0,0,0,0,1,0
539,0,140,1,0,24.0,0,0,79.2,1,0,0,0,0,0,1,0,0
540,0,844,3,0,34.5,0,0,6.4375,1,0,0,0,0,0,0,1,0
541,0,92,3,0,20.0,0,0,7.8542,0,0,1,0,0,0,0,1,0
542,0,770,3,0,32.0,0,0,8.3625,0,0,1,0,0,0,0,1,0
543,0,715,2,0,52.0,0,0,13.0,0,0,1,0,0,0,0,1,0
544,0,849,2,0,28.0,0,1,33.0,0,0,1,0,0,0,0,1,0
547,1,709,1,1,22.0,0,0,151.55,0,0,1,0,0,0,0,1,0
548,1,449,3,1,5.0,2,1,19.2583,1,0,0,0,0,0,0,1,0
549,1,216,1,1,31.0,1,0,113.275,1,0,0,0,0,0,0,1,0
550,1,430,3,0,32.0,0,0,8.05,0,0,1,1,0,0,0,0,0
551,0,203,3,0,34.0,0,0,6.4958,0,0,1,0,0,0,0,1,0
552,1,284,3,0,19.0,0,0,8.05,0,0,1,0,0,0,0,0,1
553,1,822,3,0,27.0,0,0,8.6625,0,0,1,0,0,0,0,1,0
554,0,792,2,0,16.0,0,0,26.0,0,0,1,0,0,0,0,1,0
555,1,370,1,1,24.0,0,0,69.3,1,0,0,0,0,0,1,0,0
556,0,233,2,0,59.0,0,0,13.5,0,0,1,0,0,0,0,1,0
557,0,25,3,1,8.0,3,1,21.075,0,0,1,0,0,0,0,1,0
558,0,653,3,0,21.0,0,0,8.4333,0,0,1,0,0,0,0,1,0
559,1,289,2,0,42.0,0,0,13.0,0,0,1,0,0,0,0,1,0
560,1,473,2,1,33.0,1,2,27.75,0,0,1,0,0,1,0,0,0
563,0,153,3,0,55.5,0,0,8.05,0,0,1,0,0,0,0,0,1
564,1,260,2,1,50.0,0,1,26.0,0,0,1,0,0,0,0,1,0
565,0,672,1,0,31.0,1,0,52.0,0,0,1,0,0,0,0,0,1
566,0,868,1,0,31.0,0,0,50.4958,0,0,1,0,0,0,1,0,0
567,0,17,3,0,2.0,4,1,29.125,0,1,0,0,0,0,0,1,0
568,1,147,3,0,27.0,0,0,7.7958,0,0,1,0,0,0,0,1,0
569,1,581,2,1,25.0,1,1,30.0,0,0,1,0,0,0,0,1,0
570,0,732,3,0,11.0,0,0,18.7875,1,0,0,0,0,0,0,1,0
571,0,356,3,0,28.0,0,0,9.5,0,0,1,0,0,0,0,1,0
572,0,372,3,0,18.0,1,0,6.4958,0,0,1,0,0,0,0,1,0
573,0,94,3,0,26.0,1,2,20.575,0,0,1,0,0,1,0,0,0
576,0,297,3,0,23.5,0,0,7.2292,1,0,0,0,0,0,0,1,0
577,0,632,3,0,51.0,0,0,7.0542,0,0,1,0,0,0,0,1,0
578,0,801,2,0,34.0,0,0,13.0,0,0,1,0,0,0,0,1,0
580,0,664,3,0,36.0,0,0,7.4958,0,0,1,0,0,0,0,1,0
581,1,330,1,1,16.0,0,1,57.9792,1,0,0,0,0,0,0,1,0
582,1,642,1,1,24.0,0,0,69.3,1,0,0,0,0,0,1,0,0
583,0,398,2,0,46.0,0,0,26.0,0,0,1,0,0,0,0,1,0
584,0,700,3,0,42.0,0,0,7.65,0,0,1,0,0,0,0,1,0
586,0,699,1,0,49.0,1,1,110.8833,1,0,0,0,0,0,0,1,0
587,1,428,2,1,19.0,0,0,26.0,0,0,1,0,0,0,0,1,0
588,0,70,3,0,26.0,2,0,8.6625,0,0,1,0,0,0,0,1,0
589,0,846,3,0,42.0,0,0,7.55,0,0,1,0,0,1,0,0,0
590,0,768,3,1,30.5,0,0,7.75,0,1,0,0,0,0,0,1,0
591,1,646,1,0,48.0,1,0,76.7292,1,0,0,0,0,0,1,0,0
592,1,497,1,1,54.0,1,0,78.2667,1,0,0,0,0,0,0,1,0
593,0,617,3,0,34.0,1,1,14.4,0,0,1,0,0,0,0,1,0
597,1,342,1,1,24.0,3,2,263.0,0,0,1,0,0,0,0,1,0
599,0,207,3,0,32.0,1,0,15.85,0,0,1,0,0,0,0,1,0
600,1,319,1,1,31.0,0,2,164.8667,0,0,1,0,0,0,0,1,0
601,0,358,2,1,38.0,0,0,13.0,0,0,1,0,0,0,0,1,0
602,0,178,1,1,50.0,0,0,28.7125,1,0,0,0,0,0,1,0,0
603,0,213,3,0,22.0,0,0,7.25,0,0,1,0,0,0,0,0,1
604,0,462,3,0,34.0,0,0,8.05,0,0,1,0,0,0,0,1,0
605,0,170,3,0,28.0,0,0,56.4958,0,0,1,0,0,0,0,1,0
606,0,865,2,0,24.0,0,0,13.0,0,0,1,0,0,0,0,1,0
607,1,217,3,1,27.0,0,0,7.925,0,0,1,0,1,0,0,0,0
610,0,293,2,0,36.0,0,0,12.875,1,0,0,0,0,0,0,0,1
611,0,214,2,0,30.0,0,0,13.0,0,0,1,0,0,0,0,1,0
612,1,326,1,1,36.0,0,0,135.6333,1,0,0,0,0,0,1,0,0
613,0,283,3,0,16.0,0,0,9.5,0,0,1,0,0,0,0,1,0
614,0,481,3,0,9.0,5,2,46.9,0,0,1,0,0,0,0,0,1
615,0,192,2,0,19.0,0,0,13.0,0,0,1,0,0,0,0,1,0
616,0,345,2,0,36.0,0,0,13.0,0,0,1,0,0,0,0,1,0
617,1,609,2,1,22.0,1,2,41.5792,1,0,0,0,0,0,0,0,1
618,0,660,1,0,58.0,0,2,113.275,1,0,0,0,0,0,0,1,0
619,1,85,2,1,17.0,0,0,10.5,0,0,1,0,0,0,0,0,1
620,1,521,1,1,30.0,0,0,93.5,0,0,1,0,0,0,0,1,0
622,1,831,3,1,15.0,1,0,14.4542,1,0,0,0,0,0,0,1,0
