cena	Powierzchnia w m2	Liczba pokoi	Liczba piÄ™ter w budynku	PiÄ™tro
290386	46	2	5	parter
450000	59	2	3	2
375000	79	3	16	5
400000	63	3	2	2
389285	59	3	13	12
539000	90	4	1	1
380931	66	3	3	3
225000	32	1	NaN	2
235582	38	2	7	3
664443	68	3	5	3
263581	43	2	8	1
304920	46	2	4	1
1100000	185	5	NaN	1
450000	64	3	4	2
690000	165	5	2	NaN
410665	71	3	15	2
370000	73	4	4	parter
319875	51	2	15	8
430000	70	2	1	NaN
259000	48	4	4	4
290000	42	2	3	1
0	33	2	5	5
690000	203	5	2	NaN
599000	70	2	5	1
499000	88	4	3	3
270449	41	2	7	parter
311356	31	1	5	2
310707	45	2	4	3
435000	59	2	6	4
385000	51	2	4	1
410780	71	3	15	3
480000	62	3	1	parter
372025	60	3	15	2
798000	295	6	2	NaN
331945	53	2	5	2
359000	84	4	1	parter
500000	170	5	3	NaN
395609	59	3	4	1
354967	51	3	4	1
595001	170	6	2	NaN
385000	66	2	16	16
455348	56	2	4	parter
429000	79	3	5	4
276528	47	2	4	parter
1050000	228	4	2	NaN
278000	44	2	5	4
299000	46	2	15	12
615000	70	3	5	3
270500	41	2	7	parter
319875	51	2	15	7
285000	42	2	6	3
274458	45	2	5	2
380900	67	3	3	3
330000	62	3	2	parter
302887	49	2	7	4
240000	37	2	10	6
249000	38	2	10	6
753360	87	4	5	3
330000	44	2	5	5
325440	67	3	2	parter
0	36	2	5	parter
393120	55	2	5	3
464940	57	3	2	1
204450	43	2	5	3
219000	33	1	4	4
799000	118	4	4	parter
325000	65	3	1	parter
262000	44	2	10	2
185232	36	2	5	parter
299000	45	2	3	1
235000	30	2	4	3
318645	51	2	5	2
368568	68	3	4	4
569000	118	4	4	parter
199000	28	1	NaN	NaN
1350000	230	5	1	NaN
349332	54	3	NaN	parter
335343	71	2	6	parter
469000	70	2	4	2
285000	52	2	4	2
220000	48	2	4	1
320311	54	3	5	1
595000	95	4	8	5
245000	38	2	4	4
265000	38	2	4	poddasze
278000	50	2	10	5
290387	26	1	5	2
341704	56	3	15	9
343400	68	2	3	1
1115000	171	5	4	4
1199000	282	8	4	3
175000	38	1	3	1
420000	77	2	4	2
371337	59	3	15	9
277425	40	2	5	1
367000	52	2	2	parter
1200000	150	5	2	NaN
397350	44	2	5	2
319000	62	3	2	parter
980000	300	7	3	NaN
263018	39	2	5	4
336500	54	2	2	parter
259178	46	2	5	2
307499	48	2	15	11
590000	145	6	2	NaN
337467	54	3	15	2
313170	56	3	5	4
1250000	370	7	2	NaN
495000	65	3	5	2
295555	45	2	5	1
368568	68	3	4	4
499000	140	4	2	NaN
279548	41	2	5	parter
690000	225	5	1	NaN
395609	59	3	4	1
324686	55	2	15	4
217686	29	2	5	1
550000	71	3	5	parter
217042	29	1	5	4
399000	61	3	4	1
299000	48	3	4	4
368712	56	2	6	1
0	55	2	7	1
302176	45	2	4	2
265000	48	2	4	poddasze
240796	32	1	5	5
259930	47	2	4	parter
369000	73	3	4	3
354000	62	2	2	1
305000	47	3	4	2
559000	135	4	2	NaN
200000	27	1	12	3
407100	44	2	6	3
301206	48	2	15	7
277425	40	2	5	1
243306	38	2	7	6
278502	48	3	5	2
425000	57	3	3	1
760000	270	6	2	NaN
1100000	171	5	4	1
326625	48	2	5	parter
510984	70	3	5	2
920000	177	5	4	2
638175	85	4	4	3
295000	92	4	2	NaN
560000	84	3	4	1
237412	38	2	5	4
265000	55	3	4	4
750000	132	3	5	4
225000	49	3	11	9
239000	38	2	4	4
619000	48	2	16	11
213120	33	2	3	2
0	53	2	7	5
425850	50	2	5	3
245000	33	2	4	parter
520236	61	3	5	2
404570	65	3	15	7
255000	37	2	5	1
384540	56	3	4	3
337303	57	4	8	3
430000	75	4	1	1
340500	54	2	2	1
310584	54	2	2	1
368359	60	3	15	4
282994	54	2	2	parter
260000	65	2	4	2
275000	48	2	3	1
1449999	200	6	1	parter
408430	74	4	5	5
389000	47	3	4	3
420000	77	2	4	2
840000	219	7	2	NaN
930000	220	5	2	NaN
750000	96	4	5	5
0	54	3	7	6
389000	73	3	2	parter
247063	39	2	5	parter
280390	50	3	5	4
277425	40	2	5	1
336500	54	2	2	parter
351735	53	2	5	3
369000	55	2	5	3
320768	57	4	5	2
800000	225	5	3	NaN
470093	59	2	5	3
308495	56	4	5	5
354000	79	3	16	16
233386	38	2	5	parter
368110	64	3	2	2
285000	36	2	5	1
840000	219	7	2	NaN
1290000	235	6	2	NaN
392607	59	4	7	5
293488	43	2	5	parter
272873	41	2	4	1
409468	55	2	3	parter
332940	53	2	5	2
325000	55	3	3	parter
247220	52	2	5	2
240000	41	2	NaN	3
334117	56	3	3	2
286462	49	3	5	4
411901	57	2	5	1
368568	68	3	4	4
350000	50	3	4	3
303000	53	3	4	3
344500	53	3	7	5
191000	20	1	5	5
165000	70	3	2	NaN
365000	63	3	4	2
945000	153	5	3	NaN
795000	220	5	3	NaN
204000	30	1	4	parter
280039	47	2	4	2
221918	36	2	5	parter
1900000	318	5	1	NaN
799000	104	4	2	2
339381	53	3	7	6
405000	58	2	4	3
367000	52	2	2	parter
307499	48	2	15	12
274334	48	3	5	1
330368	51	2	15	12
269952	36	1	5	5
365000	47	2	3	1
309000	62	3	NaN	4
195000	42	2	2	2
243800	43	3	5	4
351475	67	3	2	parter
338250	61	3	4	4
441129	72	3	15	parter
337000	48	2	2	1
349000	42	2	5	4
264000	38	2	4	poddasze
359000	60	3	4	1
0	30	1	7	4
290387	26	1	5	2
233386	38	2	5	parter
320539	51	3	15	2
221918	36	2	5	parter
253188	48	2	4	parter
550000	117	4	2	NaN
710000	189	6	2	NaN
180000	38	1	4	2
249000	50	2	3	3
327787	51	2	15	11
349000	64	3	4	4
314000	57	3	4	4
399000	54	2	5	parter
440000	50	2	4	1
495033	81	3	4	3
334000	44	2	2	parter
200000	28	1	4	4
839160	111	4	5	2
350000	64	3	3	3
329820	54	3	8	2
225000	32	1	16	9
2150000	140	4	2	parter
304488	42	2	5	3
280000	43	2	10	3
420000	57	2	4	4
362880	55	2	5	1
324610	49	2	5	2
292712	52	3	5	3
279000	49	2	4	parter
471305	72	3	15	13
334600	59	4	5	parter
260876	53	2	5	3
410665	71	4	15	2
179000	35	1	NaN	1
341704	56	3	15	9
440000	104	3	4	2
279000	38	2	4	1
450000	84	4	4	parter
2100000	280	5	3	NaN
430000	41	2	5	1
174995	38	1	2	1
299000	61	2	4	2
719000	141	5	NaN	NaN
350000	60	3	4	3
242000	37	2	10	2
499000	195	4	3	NaN
499000	120	4	4	2
308237	53	2	2	1
315000	66	3	3	parter
368568	68	3	4	4
649000	250	7	4	NaN
380000	67	3	NaN	3
283024	50	3	5	parter
272000	47	2	2	1
311406	43	2	5	3
1270000	97	3	2	2
206637	63	3	3	1
323340	53	3	8	2
315000	50	2	3	2
699000	154	5	2	NaN
189000	26	1	12	5
341704	56	3	15	9
204450	43	2	5	3
709000	114	5	2	NaN
585000	76	3	7	6
474912	72	3	14	14
301800	54	2	2	1
358000	63	3	4	4
353524	54	3	7	parter
440000	61	3	3	2
479500	57	2	5	parter
303841	49	1	8	7
980000	287	7	2	NaN
328000	47	2	15	10
351504	48	2	5	4
233914	31	1	5	4
341704	56	3	15	9
249048	34	2	2	2
495000	70	3	4	2
316740	52	3	8	4
337524	51	3	7	2
960000	180	6	1	1
285000	49	2	16	14
335000	48	2	5	2
410665	71	4	15	2
465000	160	6	3	NaN
290387	26	1	5	2
329423	54	3	8	5
0	53	3	5	1
390000	90	4	2	NaN
288000	49	2	2	parter
1100000	176	6	3	NaN
268995	34	1	5	4
250000	31	1	4	2
344712	53	3	15	9
230000	32	2	4	3
1330000	96	3	2	parter
370000	47	2	3	1
395000	33	1	8	3
790000	270	6	2	NaN
344051	67	3	2	parter
490000	70	3	3	2
275000	50	2	2	2
670000	148	5	2	NaN
518000	98	4	2	1
489464	71	4	7	4
350000	48	2	5	parter
270000	46	2	16	11
367218	59	3	15	1
356160	59	4	8	3
680000	217	7	1	NaN
249048	34	2	2	2
520000	86	4	4	4
480000	92	4	1	1
399000	62	3	5	3
269999	45	2	3	2
650000	260	4	3	NaN
265000	55	3	4	4
319000	57	3	4	4
233386	38	2	5	1
325038	45	2	5	4
237405	35	1	5	parter
346055	54	3	15	13
263872	47	3	4	1
397350	44	2	5	2
325000	48	2	3	2
366665	56	3	15	8
249048	34	2	2	2
341850	53	3	7	parter
1900000	300	6	4	NaN
630000	75	3	4	1
310584	54	2	2	1
185000	28	1	10	2
399000	58	3	5	5
320000	44	2	4	4
273000	48	3	5	3
378000	77	3	16	2
299000	59	3	4	3
0	36	2	5	3
380000	42	2	5	5
345000	65	3	4	4
495000	64	3	4	1
341704	56	3	15	9
350000	50	2	4	3
1250000	198	6	2	NaN
275000	44	2	4	4
230753	31	1	5	3
185232	36	2	5	parter
269645	46	2	5	3
706972	72	2	16	2
274000	55	3	4	4
698740	63	3	4	parter
330110	60	3	5	4
362475	53	2	5	5
410000	57	2	7	5
471775	56	2	6	1
214171	35	2	5	parter
460000	78	4	1	parter
350000	59	3	2	parter
750000	150	5	2	NaN
0	70	3	5	5
249048	34	2	2	2
450000	74	3	3	parter
378000	66	3	3	2
1090000	183	6	3	1
379000	67	3	3	2
336375	57	2	4	parter
371930	57	4	7	4
371432	60	3	15	10
300428	47	3	2	2
195000	32	1	10	6
287952	51	3	5	4
254345	39	1	4	4
399000	80	3	16	12
749000	163	5	2	NaN
428090	57	3	4	1
410000	53	2	11	5
520000	85	4	4	4
263018	39	2	5	4
314000	61	3	4	3
529000	120	4	2	NaN
337524	51	3	7	2
363240	50	2	5	1
159000	30	2	1	parter
229000	30	1	5	4
379000	56	3	4	parter
340000	54	2	5	5
299812	51	2	4	2
210000	33	1	NaN	NaN
980000	220	6	2	NaN
307499	48	2	15	13
277098	54	3	2	parter
359988	54	3	7	5
550000	200	4	2	NaN
480000	64	3	5	1
495723	82	4	15	9
474912	72	3	14	14
520000	100	3	2	NaN
950000	300	6	2	NaN
390000	47	2	4	NaN
539000	63	3	2	1
315225	47	2	5	5
820000	156	5	2	NaN
637776	49	2	4	3
1550000	320	6	1	NaN
380764	67	3	2	parter
219995	42	2	3	2
347000	47	2	9	8
214200	34	1	3	1
730000	200	5	3	NaN
265999	42	2	4	3
326000	39	2	3	1
311283	51	3	4	4
311500	89	2	4	1
277425	40	2	4	1
500000	84	3	NaN	NaN
309825	45	2	5	4
194000	38	2	5	2
285534	44	2	2	1
349000	51	3	NaN	parter
204450	43	2	5	3
362880	55	2	5	1
249480	33	1	4	1
630000	60	2	3	1
335000	64	4	11	3
368712	56	2	6	1
354416	58	3	2	1
481522	67	3	5	2
389000	64	2	NaN	parter
467000	103	4	3	NaN
569000	118	4	NaN	parter
850000	50	2	2	2
421049	72	4	15	2
560000	180	6	3	NaN
777459	159	5	2	NaN
416000	59	2	3	3
499000	118	4	4	2
330000	74	3	4	4
326000	39	2	4	1
409000	54	2	3	1
281960	50	3	5	parter
319875	51	2	15	8
499000	62	3	5	parter
420000	125	4	2	1
421870	68	3	5	parter
437680	54	2	5	2
208740	29	1	5	parter
282994	54	2	2	parter
1590000	270	7	2	NaN
365000	77	3	16	16
370000	49	2	16	13
327000	49	2	5	1
550000	117	4	2	NaN
274120	48	3	5	1
370000	60	3	4	4
299000	47	3	4	2
499000	88	4	3	3
510000	53	2	5	2
222050	44	2	4	3
380000	67	3	4	2
949000	340	8	2	NaN
346843	57	3	15	2
669000	149	5	2	NaN
1465000	175	6	5	3
299000	48	3	4	3
495723	82	4	15	9
307156	45	2	4	1
312460	45	2	5	parter
284618	41	2	4	3
1200000	237	7	2	NaN
313039	44	2	5	4
950000	300	5	2	NaN
384300	61	3	5	1
350464	54	3	7	1
307156	45	2	4	1
449000	54	2	5	4
320311	54	3	8	1
405440	61	3	15	5
464067	71	3	15	9
311696	55	4	5	2
235000	38	2	4	parter
273000	55	2	5	5
339000	57	2	3	parter
239000	40	2	2	parter
237944	42	3	5	1
245000	110	1	2	2
257034	44	2	1	1
1550000	182	4	NaN	NaN
354496	55	3	7	1
331500	51	2	5	parter
365000	48	2	3	2
399000	56	2	NaN	NaN
335000	54	2	3	parter
229900	40	2	3	parter
284618	41	2	4	3
350000	50	3	4	3
325000	64	3	12	parter
629000	180	4	2	NaN
308500	57	4	NaN	2
349966	54	3	15	4
458136	72	3	7	7
450000	74	3	3	parter
415116	70	4	4	2
274763	44	2	15	7
379000	64	3	4	3
280000	47	3	4	3
409000	59	3	4	4
410665	71	4	15	2
245500	40	2	NaN	1
344712	53	3	15	8
326000	39	2	3	1
313000	50	2	4	3
470000	55	2	4	3
273000	48	3	5	3
368568	68	3	4	4
0	67	3	5	2
334600	59	4	5	parter
155000	26	2	2	parter
0	36	2	5	3
391710	71	4	4	parter
864763	78	2	5	5
437680	54	2	5	2
330840	55	3	8	1
870000	156	5	2	parter
345000	45	2	4	2
345000	65	3	4	4
337524	51	3	7	4
399000	47	2	4	parter
780000	87	3	NaN	parter
627000	95	4	5	5
670000	186	6	3	NaN
265000	43	2	4	4
549000	106	3	3	2
320311	54	3	5	2
360000	60	2	4	2
0	35	2	5	1
330000	47	2	4	parter
297830	45	2	4	4
615000	200	5	2	NaN
302887	49	2	7	parter
340500	54	2	2	1
395000	53	2	11	5
239000	31	1	16	1
417700	67	3	2	parter
526050	45	2	5	3
309000	53	2	4	1
465000	160	6	3	NaN
278502	48	3	5	2
467384	63	3	7	4
406000	63	2	3	1
3000	68	3	NaN	2
355000	60	3	4	3
265000	61	2	3	parter
495723	82	4	15	9
148000	34	1	1	parter
221918	36	2	5	parter
520000	233	6	2	NaN
1190000	270	5	2	NaN
680000	197	7	3	NaN
354000	78	3	16	16
341544	60	4	5	1
300328	53	3	5	parter
469131	67	4	5	5
335000	54	2	3	parter
345800	53	3	7	1
595000	136	7	2	1
245000	35	1	3	2
379000	70	4	4	2
268385	41	2	7	1
321685	49	2	5	1
299000	38	1	2	2
280390	50	3	5	4
399000	98	3	5	5
510000	100	4	2	NaN
279000	48	2	16	14
659500	135	4	1	parter
652000	162	4	1	NaN
295362	48	2	8	parter
309900	46	2	5	4
268385	41	2	7	1
285534	44	2	2	1
549000	106	3	3	2
308495	56	4	5	5
450000	86	4	1	1
253288	45	3	5	4
200060	28	1	6	parter
295490	45	2	5	3
225000	32	1	16	9
411901	57	2	5	1
345000	56	2	4	1
302887	49	2	7	4
2000	37	2	5	4
579000	92	2	5	2
217686	29	1	5	3
407000	43	2	8	8
229900	40	2	3	parter
774005	150	7	2	NaN
279000	70	4	4	parter
904041	100	3	5	parter
350784	54	3	7	4
282951	40	2	14	5
378000	78	2	16	2
256088	45	3	5	2
255000	40	2	4	1
890000	200	6	2	NaN
277425	40	2	5	1
280000	46	2	4	4
253288	45	3	5	4
315445	27	2	4	1
267984	37	2	5	1
864763	78	2	5	5
1139000	157	4	2	NaN
950000	200	6	2	NaN
3700000	240	7	2	NaN
340000	54	2	5	5
890000	118	3	1	1
245000	38	2	NaN	2
390000	211	6	2	NaN
330840	55	3	8	1
309000	51	3	4	4
329820	54	3	8	2
349668	44	2	5	2
295000	33	2	4	4
275000	38	2	10	6
380000	73	3	1	1
330840	55	3	8	2
289000	40	2	4	4
406364	44	2	5	3
1990000	220	5	1	NaN
376399	62	3	15	14
341040	60	4	5	2
259000	45	2	4	4
194000	38	2	5	2
272000	48	2	2	1
1520000	136	3	2	parter
410000	57	2	6	5
416000	60	2	3	3
699000	150	4	3	NaN
329000	47	3	6	5
245000	44	2	4	2
290000	49	2	13	13
311283	51	3	4	4
798000	120	5	3	3
389000	67	2	2	parter
358246	52	3	3	2
240000	41	2	4	3
244062	41	2	4	1
198000	31	1	4	2
278460	44	2	6	parter
335988	49	2	7	2
754071	78	4	5	4
329995	48	3	4	1
499000	153	4	2	NaN
474912	72	3	14	14
249048	34	2	2	2
362880	55	2	5	1
415000	49	2	4	1
525000	85	4	4	4
393120	56	2	5	3
555000	125	5	3	3
296000	37	2	8	6
410665	71	3	15	2
205000	27	1	12	4
320311	54	3	8	1
345000	33	1	3	1
431145	73	4	4	2
341040	60	4	5	2
638175	85	4	4	3
749000	141	5	2	NaN
560000	55	2	8	8
282994	54	2	2	parter
383950	54	2	5	4
0	35	2	5	parter
319000	48	3	4	parter
240000	41	2	4	3
864763	78	2	5	5
320000	53	2	4	1
864763	78	2	5	5
377640	41	2	4	2
247220	52	2	5	2
475930	67	4	5	3
695000	220	7	4	NaN
610000	86	4	5	4
280000	55	2	NaN	2
337524	51	3	7	2
295000	49	2	4	4
643000	83	4	2	parter
302887	49	2	7	4
286000	39	2	5	3
439000	86	2	5	3
198000	31	1	4	2
453929	68	3	5	3
480000	175	5	2	NaN
256872	45	3	5	1
360912	70	3	4	2
320518	53	3	15	parter
394000	66	3	6	5
333699	54	3	4	parter
1850000	196	5	3	NaN
379999	67	3	3	2
193772	30	1	5	3
525000	104	4	4	3
282994	54	2	2	parter
435000	84	3	NaN	1
345865	53	3	7	2
1156054	103	4	4	parter
640000	230	4	2	NaN
263018	39	2	5	4
242000	37	2	4	2
339000	48	3	4	parter
1900000	88	3	2	NaN
169000	38	1	3	1
193500	38	2	4	2
363392	53	2	5	2
245000	39	2	12	5
318452	50	2	8	2
269000	37	2	10	3
203600	43	3	5	1
377947	56	3	5	2
299000	60	2	3	2
325000	53	2	3	3
454000	52	2	5	3
295620	29	1	5	parter
365000	69	4	1	1
417700	67	3	2	parter
263000	34	2	4	1
290387	26	1	5	2
345000	64	3	4	4
300428	47	3	2	2
250000	38	2	10	10
364000	69	3	2	2
185232	36	2	5	parter
525000	70	3	3	parter
340000	55	2	5	5
299000	60	2	3	2
408430	74	4	5	5
690000	270	4	1	NaN
355000	53	3	10	9
335000	62	3	4	3
336490	29	1	5	3
474719	102	4	4	2
192750	38	2	5	1
510186	73	4	5	2
307035	55	3	5	4
428090	57	3	4	1
619989	84	4	3	parter
1290000	220	5	2	NaN
338580	41	2	5	2
269000	61	4	1	parter
245000	47	2	10	8
411901	57	2	5	1
314000	61	3	4	3
315350	45	2	5	1
345000	47	2	2	parter
340000	52	2	5	parter
479934	76	4	3	1
345240	57	4	8	2
237405	35	1	5	parter
315810	47	2	9	8
415000	78	4	3	3
390000	90	4	1	parter
251850	34	1	5	3
620000	91	4	2	1
210000	33	1	4	parter
535000	108	4	4	1
420000	62	2	NaN	3
864763	78	2	5	5
599000	120	4	1	NaN
249000	26	1	2	2
990000	130	4	1	NaN
217686	29	1	5	1
904041	100	3	5	parter
275000	38	2	12	1
864763	78	2	5	5
287000	48	2	4	2
320189	52	3	8	1
2700000	510	1	4	NaN
330393	55	2	15	14
222050	43	2	5	3
262000	72	4	2	NaN
320311	54	3	5	1
270000	52	2	4	1
326000	39	2	4	1
904041	100	3	5	parter
355374	65	2	5	1
550000	117	4	1	parter
340000	54	2	5	5
369000	76	3	16	1
609000	143	5	2	NaN
495000	62	2	5	1
387000	84	3	5	4
465000	42	2	5	4
495723	82	4	15	9
185232	36	2	5	parter
280000	54	3	4	4
280000	46	2	4	4
239000	31	1	4	4
304000	36	2	5	parter
678756	87	3	5	1
319000	64	3	10	4
380000	49	2	6	6
383950	54	2	5	4
299000	41	2	4	2
1600000	1200	6	3	NaN
360000	47	2	3	1
294900	59	2	4	2
320992	57	4	5	parter
350000	63	1	4	parter
279000	48	3	4	4
332145	54	3	8	1
949000	178	5	3	NaN
499000	55	2	4	4
484506	49	2	4	3
295000	48	3	4	1
211481	28	1	5	1
180000	50	2	2	2
215000	31	1	11	9
299344	46	2	7	parter
740000	67	3	5	parter
250000	38	2	10	6
260000	44	2	3	3
346055	54	3	15	11
730000	150	4	NaN	NaN
580000	77	3	2	2
398500	70	4	2	parter
1190000	226	4	2	NaN
308495	56	4	5	5
615000	70	3	3	3
350000	51	3	3	1
499000	64	3	4	1
1650000	190	7	1	parter
0	41	2	7	1
245000	44	2	4	1
305000	53	2	4	parter
330840	55	3	5	2
179000	35	1	NaN	1
368568	68	3	4	4
277425	40	2	4	1
779000	151	5	2	NaN
450000	86	4	1	1
394000	68	3	6	5
771672	98	4	7	7
235000	42	2	NaN	4
330840	55	3	8	1
627000	95	4	5	5
299000	47	2	4	3
293178	51	3	5	4
299000	45	2	3	1
425000	53	2	5	2
459000	88	4	4	2
368359	60	3	15	1
860000	140	4	1	NaN
309000	65	3	4	3
365000	56	3	2	2
750000	185	4	2	NaN
290000	56	2	4	3
319872	57	4	5	3
245000	46	2	3	3
275286	42	2	7	parter
650000	200	5	2	NaN
680000	141	4	2	NaN
319900	72	2	4	2
365000	51	2	3	2
359000	48	2	5	3
495723	82	4	15	9
325038	45	2	5	1
295362	48	2	8	parter
328025	54	2	15	1
247220	52	2	5	2
307026	55	4	4	4
269000	48	3	10	8
428090	57	3	4	1
595000	95	4	8	2
630000	70	2	4	2
489000	160	5	2	NaN
380931	66	3	3	3
329000	54	3	NaN	parter
297024	53	3	5	4
899000	138	4	2	NaN
429000	70	3	4	4
395604	59	4	7	6
385000	74	3	3	2
392420	63	2	4	3
256872	45	3	5	1
256872	45	3	5	1
302887	49	2	7	4
215000	33	2	4	parter
279000	47	3	11	2
565700	161	4	2	NaN
330000	59	3	4	4
337524	51	3	7	2
350784	54	3	7	4
285678	48	2	7	1
274764	44	2	14	7
380000	68	3	1	parter
699000	154	5	2	NaN
282995	49	3	10	7
1339000	220	5	2	NaN
369000	68	4	3	3
411901	57	2	5	1
350464	54	3	7	2
1500000	142	4	4	1
1890000	683	8	2	NaN
550000	84	3	4	3
420000	96	3	NaN	3
265000	38	2	5	3
205000	30	1	10	9
1240000	80	2	11	8
0	36	2	5	2
330000	59	3	4	1
750000	185	4	2	NaN
263480	47	3	5	1
165000	30	2	2	2
876000	146	4	5	4
398000	55	2	5	2
445000	48	2	3	1
969000	180	7	3	NaN
380000	59	3	4	4
404731	70	3	15	parter
220210	36	2	5	parter
585000	94	3	2	parter
378465	54	2	5	1
393120	55	2	5	3
376000	58	2	4	2
417000	74	3	2	1
603818	97	2	4	4
394000	68	3	6	5
380000	62	3	4	2
339958	57	4	5	1
350784	54	3	7	1
374227	59	3	15	12
350000	65	3	4	4
1330000	162	5	2	NaN
632800	77	3	4	3
259000	45	2	4	4
329000	57	2	3	parter
469500	109	4	2	NaN
383950	54	2	5	4
350464	54	3	7	2
485000	66	2	4	4
690000	263	6	4	NaN
329000	60	3	3	2
350000	62	3	4	2
337524	51	3	7	parter
332410	51	3	7	parter
360000	48	2	5	1
266448	47	2	5	1
302887	49	2	7	4
281960	50	3	5	parter
