cena	Powierzchnia w m2	Liczba pokoi	Liczba piÄ™ter w budynku	PiÄ™tro
499000	109	3	4	3
279000	42	2	4	parter
460000	52	4	NaN	NaN
499000	118	4	2	NaN
193772	30	1	5	3
650000	104	7	4	1
695000	92	4	4	1
455348	56	2	4	parter
372211	61	3	15	9
320311	54	3	8	1
699000	200	6	2	NaN
290387	26	1	5	2
338111	51	2	15	15
332145	54	3	8	3
437680	54	2	5	2
765000	156	2	1	NaN
256816	45	3	5	parter
205000	34	1	3	1
335000	64	3	2	1
315000	45	2	5	4
619000	130	5	2	NaN
259000	43	2	3	3
0	67	4	7	7
349000	49	2	5	1
328241	53	3	8	1
490000	60	3	4	3
329000	63	3	4	3
349785	52	3	4	1
313000	50	2	4	3
241500	34	1	5	parter
485000	79	3	10	3
399000	96	4	4	4
337120	60	3	5	3
319056	56	3	15	3
538000	75	3	3	1
200000	28	1	4	4
139000	28	1	4	parter
404500	61	3	5	5
241000	31	1	10	10
535000	108	4	4	3
337524	51	3	7	2
313000	49	2	4	3
198000	31	1	4	2
389000	61	3	4	3
305775	45	2	5	5
289900	58	2	4	4
260000	38	2	4	1
368110	64	3	2	2
290000	29	1	4	1
359000	56	2	4	parter
425000	84	4	11	6
348000	53	2	4	4
305670	44	2	7	3
272944	48	3	5	2
420840	50	2	5	2
340000	55	3	3	parter
471305	72	3	15	10
367100	57	2	2	parter
520000	91	4	4	1
430000	66	3	5	4
233386	38	2	5	parter
194000	38	2	5	2
350000	63	3	4	3
397000	58	2	4	2
280000	54	3	4	4
255000	32	2	5	5
850000	160	4	NaN	NaN
543500	106	3	4	2
690000	88	3	4	2
429000	79	3	5	4
413000	46	3	4	3
450000	110	5	2	NaN
580000	106	3	4	3
0	35	2	5	2
559000	100	3	3	parter
330840	55	3	8	5
470000	112	4	3	NaN
315000	46	2	4	4
990000	180	6	1	NaN
349300	54	3	15	4
340000	63	3	4	2
165000	33	1	3	3
269952	36	1	5	4
429001	43	2	5	5
349000	64	4	11	11
409000	60	3	5	1
485000	60	3	5	3
268385	41	2	7	1
1100000	171	5	4	4
350000	83	3	2	1
747000	84	3	12	7
235000	40	1	3	3
393120	55	1	NaN	3
415000	70	3	4	1
638175	85	4	4	3
249000	42	2	4	1
263018	39	2	5	4
391711	65	3	15	1
460000	120	4	1	parter
559999	74	3	3	3
268385	41	2	7	1
590000	76	4	2	NaN
236596	34	2	2	parter
408430	74	4	5	5
589000	89	4	4	parter
328241	52	3	8	5
378000	78	3	16	2
288064	51	3	5	parter
281176	50	3	4	2
340500	54	2	2	1
520398	75	4	5	2
10000000	104	5	2	NaN
517000	138	4	5	1
320311	54	3	8	1
330000	60	3	5	3
490000	72	4	5	parter
585000	220	6	2	NaN
259000	47	2	10	3
336804	53	2	3	3
341995	56	2	3	1
260000	47	2	10	5
247000	38	2	8	2
299000	54	3	4	3
359260	65	4	5	3
424180	66	4	8	4
269000	38	2	9	4
330110	60	3	5	4
397350	44	2	5	2
299000	60	2	3	2
1099000	260	4	3	NaN
275000	40	2	5	1
770000	180	8	3	NaN
289000	47	3	4	4
320000	49	2	16	12
650000	260	4	3	NaN
265999	42	2	4	3
329441	55	2	15	9
4600000	855	5	2	NaN
690000	143	4	2	NaN
699000	240	4	3	NaN
313362	49	2	7	parter
550000	117	4	2	NaN
587900	69	3	4	1
318000	60	2	3	2
392607	59	4	7	5
499000	140	4	1	parter
330000	60	3	5	3
455348	56	2	4	parter
495782	82	4	15	8
419000	100	5	2	NaN
375000	49	3	4	3
274764	44	2	14	7
406980	48	2	5	2
209973	32	1	3	3
1850000	376	8	2	NaN
0	33	2	5	3
368000	58	3	3	2
307020	43	2	5	2
365000	79	3	2	1
470000	73	4	5	3
376000	47	2	4	1
235000	38	2	12	5
1870000	260	5	2	NaN
790000	160	6	3	NaN
795000	103	4	4	parter
799000	104	4	NaN	2
550000	68	3	5	2
408430	74	4	5	5
169000	29	1	4	1
356160	59	4	8	5
342720	57	3	8	2
579000	97	4	3	3
414739	67	3	15	parter
311185	36	2	5	4
418000	60	2	4	3
254727	45	2	5	2
1200000	100	2	4	2
357000	35	1	6	3
1199000	218	7	2	NaN
217700	30	2	5	1
354496	55	3	7	2
455348	56	2	4	parter
160220	51	3	1	parter
340500	54	2	2	1
311515	51	2	15	4
945000	153	5	2	1
263018	39	2	5	4
319875	51	2	15	7
283989	47	2	15	parter
635000	113	5	4	4
259000	44	2	4	4
499000	90	4	2	1
327097	46	2	5	3
325440	67	3	2	parter
428090	57	3	4	1
439000	86	2	5	3
285533	44	2	2	1
236596	34	2	2	1
382500	45	2	6	1
369000	58	3	4	1
350506	57	3	16	11
356251	57	3	15	13
300425	49	2	6	1
800000	103	4	3	3
260000	38	2	4	4
450000	200	6	2	NaN
450000	74	3	3	parter
355000	59	3	1	1
335000	48	3	4	4
340000	65	3	4	parter
500000	83	3	NaN	parter
368568	68	3	4	4
345240	57	4	8	1
615000	154	5	2	NaN
389000	66	3	4	1
280000	52	2	2	parter
284618	41	2	4	3
249048	34	2	2	2
297421	50	2	16	3
293178	51	3	5	4
275000	49	2	15	13
515000	125	5	1	NaN
195000	31	1	3	parter
1650000	106	4	NaN	parter
475000	55	2	12	12
337467	54	3	15	3
262472	46	3	5	3
263144	46	3	4	2
411901	57	2	5	1
428090	57	3	4	1
273951	53	2	2	parter
243306	38	2	7	7
440000	102	4	2	NaN
193772	30	1	5	3
371000	47	2	4	4
488000	120	4	4	2
280000	54	3	4	4
719995	149	5	2	NaN
298000	50	2	5	5
759000	220	4	NaN	NaN
279000	62	3	4	4
429000	64	4	2	2
438750	65	3	4	3
350506	57	3	16	11
0	69	3	5	parter
334360	51	3	3	1
341850	53	3	7	parter
428000	43	3	6	3
424000	85	4	1	1
429000	45	2	4	3
230000	41	2	NaN	11
904041	100	3	5	parter
259900	65	3	2	1
904041	100	3	5	parter
333699	54	3	7	parter
699000	215	6	3	NaN
319875	51	2	15	7
595000	264	6	2	NaN
549000	85	4	4	parter
423926	66	4	8	7
750000	132	3	5	4
569000	145	4	4	2
249000	43	2	4	1
424008	72	4	4	1
476000	136	4	4	2
310000	47	3	4	1
256816	45	3	5	parter
299000	48	3	4	2
528705	139	5	2	NaN
375408	56	3	5	parter
341704	56	3	15	9
499000	88	3	3	3
399000	64	3	3	3
287000	48	3	10	2
460248	72	4	8	6
638175	85	4	4	3
0	36	2	5	4
520000	129	4	NaN	1
425000	85	4	10	6
332145	54	3	8	1
310584	54	2	2	1
380000	167	4	1	NaN
3000	68	3	NaN	2
303863	36	2	5	3
370205	55	3	3	1
1550000	185	4	1	NaN
363000	60	3	2	parter
328241	53	3	8	6
620000	140	5	2	NaN
266880	44	2	5	parter
2400000	600	7	NaN	NaN
368000	64	3	1	parter
720000	240	5	2	NaN
382500	45	2	6	1
1049000	160	6	2	NaN
546462	86	4	3	parter
320000	65	4	4	4
468000	108	4	2	NaN
749000	150	5	2	NaN
317465	51	3	14	1
355000	47	3	4	3
565000	260	7	4	NaN
432000	72	4	4	1
227766	24	1	4	1
275000	49	2	4	parter
237405	35	1	5	parter
900000	150	6	3	NaN
1490000	175	4	2	NaN
295555	45	2	5	1
295000	48	3	4	1
442150	57	2	5	2
535000	112	4	5	1
305775	45	2	5	4
344152	67	3	2	parter
1449999	200	6	2	NaN
269000	37	2	10	3
357695	55	3	7	parter
299000	47	3	4	2
374227	59	3	15	11
220000	36	2	NaN	parter
270000	37	2	NaN	6
499000	153	4	2	NaN
210000	33	1	NaN	NaN
417700	67	3	2	parter
259000	38	2	4	4
669000	200	5	4	NaN
425000	56	3	3	3
537264	65	3	5	3
415830	50	2	5	1
875000	174	5	2	NaN
193772	30	1	6	3
189000	29	1	5	5
360000	41	2	5	5
430000	63	2	4	1
479500	57	2	5	parter
564000	120	5	2	parter
539000	83	3	3	3
284000	50	2	3	3
383950	54	2	5	4
280000	48	3	4	4
235000	43	2	3	parter
282994	54	2	2	parter
285000	47	3	4	4
194000	38	2	5	2
404965	73	3	3	2
799000	296	6	2	NaN
368568	68	3	4	4
990000	315	7	2	NaN
195000	35	2	3	parter
265000	33	2	5	5
390000	55	2	5	2
559000	92	4	2	NaN
344017	51	3	15	5
499000	64	3	4	1
1156054	103	4	4	parter
366316	53	3	5	3
355000	47	2	5	1
129000	45	2	3	2
564900	97	4	4	3
349011	59	3	4	parter
315000	42	2	10	3
450000	100	4	2	NaN
394000	68	3	6	5
428090	57	3	4	1
269000	38	2	10	7
270000	46	2	4	1
129000	53	2	5	5
840000	232	4	2	NaN
280952	50	3	5	3
266448	47	3	5	1
460000	78	4	1	parter
306340	45	2	5	parter
250000	42	2	10	parter
899000	162	5	2	NaN
299000	49	2	16	2
549000	90	3	1	parter
308495	56	4	5	5
227000	50	2	3	parter
299000	45	2	5	4
357692	64	3	2	2
1000000	298	6	NaN	NaN
395000	42	2	5	5
285534	44	2	2	1
313000	49	2	4	3
327999	48	3	10	1
285000	57	2	2	2
475000	96	3	4	2
197000	36	1	4	parter
368568	68	3	4	4
328241	53	3	8	2
329422	54	3	8	6
520236	61	3	5	2
469131	67	4	NaN	4
330000	49	2	5	3
2300000	330	6	1	NaN
460000	49	2	4	1
429000	63	3	NaN	parter
339200	53	3	1	3
396416	52	1	5	1
380000	67	2	4	1
602237	93	4	5	4
396416	52	1	5	1
849999	301	6	3	NaN
281000	35	1	4	parter
349668	44	2	6	2
410665	71	3	15	2
760000	127	5	5	1
876000	146	4	5	3
389000	61	3	4	3
2300000	290	5	1	NaN
580000	219	5	3	NaN
428885	45	2	5	1
579000	96	4	2	NaN
0	51	3	5	3
356265	54	3	7	5
401000	45	3	5	1
797000	100	4	2	2
300000	50	2	10	3
337392	51	2	13	12
769000	275	6	3	NaN
236000	48	2	3	parter
420000	51	2	5	2
320000	61	2	3	parter
305000	55	2	6	1
313000	49	2	4	3
302887	49	2	7	4
319000	48	3	4	parter
354496	55	3	7	2
465000	70	3	4	parter
359988	54	3	7	5
3559725	60	3	4	4
368110	64	3	2	2
408430	74	4	5	5
249048	34	2	2	2
302038	51	2	16	3
220668	29	1	5	5
263000	42	2	10	parter
274763	44	2	15	5
374018	59	3	15	3
268385	41	2	7	1
275000	44	2	5	4
396416	52	1	5	1
472000	74	4	5	2
245830	39	2	NaN	2
346000	58	2	3	1
253500	38	2	6	2
268385	41	2	7	1
434843	73	3	15	1
990000	127	4	2	NaN
325000	64	4	11	3
0	53	3	5	2
533000	59	2	4	2
278064	49	2	4	1
400700	70	3	4	1
530000	270	5	3	NaN
245000	30	1	NaN	1
305000	53	2	6	parter
235000	34	2	7	3
335000	63	3	4	3
259000	38	2	4	parter
348127	57	4	8	6
1899000	375	5	2	NaN
330000	49	2	4	parter
349000	55	2	4	3
269000	67	3	4	1
310000	47	3	NaN	NaN
310584	54	2	2	1
275000	49	2	16	13
200000	27	1	12	3
437680	54	2	5	2
347000	47	2	9	8
356160	59	4	8	3
319875	51	2	15	8
474912	72	3	14	14
411901	57	2	5	1
374995	69	3	4	parter
900000	220	6	2	NaN
285000	50	2	4	1
342720	57	3	8	2
311304	45	2	5	parter
549000	106	3	4	2
279840	50	3	5	2
645000	220	8	3	NaN
397300	58	2	4	2
595296	124	5	3	1
312120	61	2	5	parter
319875	51	2	15	7
720000	72	3	3	parter
237900	32	1	11	parter
801583	68	3	5	3
490000	69	3	4	3
315000	69	3	NaN	1
390000	68	3	2	2
329000	63	3	4	3
560000	180	6	3	NaN
389610	59	4	7	4
269000	52	2	2	parter
949000	280	5	4	NaN
729000	252	5	3	NaN
307026	55	4	5	4
249048	34	2	2	1
480000	69	3	3	parter
280000	47	3	NaN	7
688000	111	4	2	2
429000	79	3	4	4
379999	68	3	2	2
313000	49	2	4	3
395604	59	4	7	6
335000	57	1	3	parter
262136	46	3	5	parter
396416	52	1	5	1
411901	57	2	5	1
250200	41	2	8	2
269000	44	2	4	4
302887	49	2	7	4
850000	75	3	5	5
318384	48	3	7	2
282951	40	2	15	5
194000	38	2	5	2
0	36	2	5	parter
240000	45	2	4	parter
383950	54	2	5	4
650	50	3	3	1
324608	50	3	8	2
259000	38	2	4	4
745000	197	6	NaN	NaN
282549	49	3	5	3
333699	54	3	7	parter
614500	57	2	16	5
205000	27	1	5	1
561000	61	2	10	4
319875	51	2	15	7
460488	71	3	15	8
399000	60	2	5	2
399000	62	3	2	2
299656	53	3	5	1
425000	160	5	2	NaN
1000000	300	6	4	NaN
550000	173	5	3	NaN
346843	57	3	15	3
462000	56	2	6	3
319875	51	2	15	8
659000	78	4	6	1
269000	49	2	16	11
256816	45	3	5	parter
339000	49	2	3	3
0	69	3	5	2
262472	48	3	5	3
318816	51	2	3	parter
449000	66	3	2	1
335343	71	2	6	parter
1470000	158	4	2	1
337370	61	3	4	parter
399000	47	3	9	4
0	36	2	5	1
249000	38	2	12	4
330000	25	1	2	1
275125	47	2	4	1
398853	68	3	4	3
365000	50	3	4	3
237405	35	1	5	parter
283372	45	2	15	14
289000	40	2	4	parter
0	35	2	5	3
359000	64	4	4	parter
1000000	104	5	1	parter
369000	67	3	15	10
282994	54	2	2	parter
1090000	300	8	2	NaN
325000	76	3	2	2
719000	141	5	NaN	NaN
564000	120	4	2	NaN
495000	63	3	3	parter
353379	57	3	16	12
285000	49	2	14	14
799000	250	6	2	NaN
359000	48	2	6	5
235000	55	2	4	2
558000	93	4	4	1
420000	76	2	2	2
278720	41	2	4	1
446040	59	2	5	1
280000	46	2	4	4
562000	79	4	1	1
368712	56	2	6	1
340000	63	3	4	2
218000	39	1	5	2
393120	55	2	5	3
252938	37	4	2	parter
281000	29	1	6	2
344152	67	3	2	parter
520000	143	5	3	NaN
319000	55	3	4	4
740000	178	5	2	NaN
366665	56	3	7	parter
367000	52	2	2	parter
950000	269	6	3	NaN
220668	29	1	5	4
777459	159	5	2	NaN
323340	53	3	8	3
950000	200	6	2	NaN
820000	128	5	NaN	parter
384640	63	2	4	3
185232	36	2	5	parter
290080	51	3	5	2
0	25	1	7	1
418000	84	4	4	parter
350506	57	3	16	11
195000	42	2	3	2
408430	74	4	5	5
1140000	192	6	1	parter
335343	71	2	6	parter
449000	52	2	5	4
233386	38	2	5	parter
325000	64	4	11	3
1449999	200	6	2	parter
325000	45	2	4	4
221918	36	2	5	parter
295000	29	1	5	1
329000	63	3	4	3
520236	61	3	5	2
297632	45	2	4	1
285000	57	2	3	2
393120	55	2	5	3
278064	49	2	4	1
185232	36	2	5	parter
770000	120	3	1	NaN
350506	57	3	16	11
307156	45	2	4	1
0	49	3	8	parter
559000	100	3	3	parter
450000	140	5	2	NaN
320000	59	3	4	4
362880	55	2	5	1
347000	47	2	9	8
289000	42	2	10	4
320000	53	3	4	4
0	36	2	7	6
499000	153	4	2	NaN
341704	56	3	15	9
340000	53	3	10	9
294906	42	2	4	3
307156	45	2	4	1
315000	47	3	4	2
290000	41	2	5	5
295000	61	3	5	4
359000	93	4	5	5
0	53	2	5	parter
345000	65	3	4	4
469000	68	3	5	3
281000	29	1	6	2
378000	78	3	16	2
0	37	2	8	5
656627	50	2	4	2
337524	51	3	7	4
443556	59	3	6	4
415000	57	2	6	5
499000	64	3	4	1
291704	52	3	5	4
274203	44	2	15	4
335343	71	2	6	parter
1350000	270	6	2	NaN
185000	28	1	4	4
285000	47	3	4	4
348000	64	3	4	4
236000	48	2	3	parter
265088	48	2	4	1
286000	47	2	3	3
350784	54	3	7	1
312480	55	4	5	1
393120	55	2	5	3
371782	56	3	15	10
417000	74	3	2	parter
403678	63	3	15	9
359400	56	3	5	1
374556	44	2	5	1
340480	53	3	7	2
445000	102	4	1	parter
193500	38	2	5	2
315000	53	3	4	3
323340	53	3	8	3
570000	54	2	8	8
442000	120	4	2	NaN
500000	120	6	1	NaN
0	36	2	5	4
182000	35	2	4	3
660000	71	3	4	2
250000	35	1	7	1
499999	42	2	5	5
449000	53	2	5	4
328588	46	2	5	4
524160	65	3	5	1
365000	77	3	16	16
1141258	155	2	4	4
491744	77	4	3	1
218000	39	1	5	2
890000	263	7	2	NaN
0	51	3	5	4
950000	300	5	2	NaN
339000	56	2	4	3
474912	72	3	14	14
277098	54	2	2	parter
320000	48	2	4	1
475000	159	4	2	NaN
266448	47	3	NaN	1
245000	37	1	4	2
470093	59	2	5	3
400000	62	3	2	2
200060	28	1	NaN	parter
368712	56	2	6	1
350000	65	4	4	3
1200000	167	6	3	NaN
341850	53	3	7	parter
0	51	3	5	parter
450000	74	3	3	parter
359000	60	3	4	1
742000	53	2	2	1
286000	63	3	11	6
240000	29	1	4	1
350000	50	2	5	3
405840	71	4	15	3
404570	65	3	15	6
338111	51	2	16	15
904041	100	3	5	parter
325000	47	2	15	10
330060	55	3	8	3
564000	120	5	2	parter
235000	40	1	3	3
272000	48	2	2	1
295000	45	2	2	parter
965000	160	4	3	NaN
499000	45	2	5	2
270450	41	2	7	parter
274764	44	2	14	7
363342	44	2	5	1
299000	42	2	5	5
438768	88	4	4	parter
522000	86	3	4	3
771672	97	4	7	7
584803	78	3	4	4
497400	99	3	3	parter
249048	34	2	2	2
546000	126	5	2	NaN
316740	52	3	8	4
440000	49	2	4	1
270000	30	2	4	3
499000	153	4	2	NaN
349332	54	3	7	5
499000	98	4	2	1
333216	46	2	5	3
340000	54	2	5	5
323000	63	3	NaN	4
340000	54	2	5	5
369000	68	3	4	parter
289000	49	2	11	8
268385	41	2	7	1
145000	39	4	NaN	2
480000	175	3	2	NaN
420056	69	3	15	1
820000	128	5	4	1
399000	77	3	16	12
265000	75	7	2	parter
311032	45	2	5	parter
330110	60	3	5	4
395000	53	2	11	5
299999	49	2	3	3
599900	72	3	8	6
759000	180	4	3	NaN
420056	69	3	15	2
313708	47	2	15	4
274000	48	2	3	1
798000	120	5	3	3
410000	60	3	4	4
606171	95	4	8	3
214171	35	2	5	parter
284618	41	2	4	3
241588	35	2	2	2
495000	86	4	2	parter
194000	38	2	5	2
365000	69	4	1	1
275000	40	2	4	1
320096	57	3	5	2
495723	82	4	15	9
350506	57	3	16	11
0	96	3	7	6
399000	60	2	5	3
238747	36	1	16	4
286002	44	2	15	10
489000	53	2	16	5
260876	53	2	5	3
469000	76	4	8	4
396000	70	2	1	NaN
266880	44	2	5	parter
359260	65	4	5	3
284963	52	3	3	parter
242000	37	2	9	2
287931	45	2	15	7
272944	48	3	5	2
410000	59	3	4	4
299000	47	2	4	3
290736	40	2	5	3
224000	33	2	4	4
850000	147	5	2	NaN
295000	50	2	4	4
597494	96	1	4	4
640000	288	6	2	NaN
279000	38	2	4	1
335075	51	3	3	1
290195	45	2	5	1
265000	67	3	4	1
466000	81	4	3	2
285000	49	2	16	14
409713	66	3	15	11
523584	72	3	3	parter
327097	46	2	5	5
411901	57	2	5	1
368568	68	3	4	4
275000	53	3	4	4
349000	51	3	NaN	parter
305000	44	2	3	3
595000	94	4	4	3
283000	47	3	4	3
345865	53	3	7	2
300428	47	3	2	2
352102	50	3	5	parter
350000	48	3	4	parter
345000	61	3	2	parter
304488	42	2	5	5
215000	37	2	4	parter
308237	53	2	2	1
192500	35	1	NaN	1
349000	50	2	4	1
372049	60	3	15	8
198000	28	1	NaN	3
315000	66	3	3	parter
288756	49	2	4	parter
296000	45	2	5	parter
725000	119	4	2	NaN
245718	24	1	4	1
340500	54	2	2	1
288288	51	3	5	1
233386	38	2	5	parter
299000	47	2	15	parter
379999	67	3	4	3
799000	296	6	2	NaN
240000	27	1	4	3
325000	65	3	4	4
519000	141	3	2	NaN
1190000	226	4	2	NaN
349000	50	2	4	3
359000	86	4	2	1
337000	100	4	2	NaN
780000	182	5	3	NaN
277098	54	3	2	parter
299000	54	3	4	3
215000	31	2	11	6
345000	44	2	5	4
372211	61	3	15	6
550000	62	3	11	2
904041	100	3	5	parter
283024	50	3	5	parter
218000	39	1	5	2
428090	57	3	4	1
549000	98	4	5	5
337000	62	4	4	4
315000	42	2	10	3
279000	47	3	10	7
266784	47	3	5	parter
860000	206	6	2	NaN
305000	47	3	4	2
320768	57	3	4	1
719000	180	5	3	NaN
248400	34	1	5	1
475000	85	4	4	4
887760	147	4	5	4
317245	49	2	5	3
649999	86	3	3	2
278000	42	2	6	3
237405	35	1	5	parter
270000	49	2	4	2
324610	49	2	5	4
280000	48	3	4	3
479000	154	6	2	NaN
354416	58	3	2	1
249048	34	2	2	2
1050000	228	4	3	NaN
590000	76	4	2	2
586000	81	2	4	parter
474912	72	3	14	14
219540	24	1	5	5
445299	71	3	15	6
344000	58	3	10	10
499000	64	3	4	1
302985	51	2	15	4
326245	45	2	5	5
399900	74	3	11	9
385000	53	2	11	5
290195	45	2	5	1
625000	105	5	4	3
311570	44	2	5	4
417000	64	3	5	3
245000	40	2	4	3
445000	102	5	2	parter
669999	87	3	4	2
430000	50	2	4	3
0	36	2	7	2
1156054	103	4	4	parter
368712	56	2	6	1
249000	37	2	1	1
382950	85	3	1	parter
395000	67	2	5	1
359000	84	4	1	parter
550000	117	4	1	parter
397350	44	2	5	2
630000	75	3	4	1
1900000	300	6	3	NaN
1000000	103	4	5	1
290000	44	2	4	2
357692	64	3	2	2
283920	50	3	5	3
348117	57	4	8	4
358000	64	3	3	2
230000	34	2	7	5
277500	37	2	5	5
527940	75	4	5	1
285824	51	3	5	1
204450	43	2	5	3
275000	49	2	NaN	parter
299000	42	2	4	3
200000	33	1	3	3
489464	71	4	7	4
529000	72	3	2	1
378465	54	2	5	3
319000	50	3	4	4
395000	62	3	1	1
799000	250	5	2	NaN
413250	72	3	8	parter
335343	71	2	6	parter
410000	57	2	7	5
510000	170	5	2	NaN
217686	29	2	5	1
340501	28	1	5	4
998000	141	6	2	1
188000	29	1	NaN	parter
274764	44	2	14	7
337120	60	3	5	3
349539	52	3	4	4
134000	72	3	1	NaN
399000	61	3	4	1
369000	58	2	3	2
239900	32	1	11	1
450000	224	5	2	NaN
216500	43	2	5	3
233386	38	2	5	parter
3500000	346	4	2	NaN
328999	66	3	5	3
309000	80	3	4	4
240357	35	2	2	1
410000	60	3	4	4
335000	63	3	4	2
193772	30	1	5	3
433688	71	3	15	3
328588	46	2	5	2
218322	37	1	4	3
380000	49	2	6	6
419000	95	3	4	3
419999	70	3	2	1
350000	65	3	4	4
307499	48	2	15	10
565000	65	3	6	1
437680	54	2	5	2
294906	42	2	4	3
314000	57	3	NaN	4
399000	52	3	1	1
222000	51	2	10	parter
258921	39	2	8	parter
194000	38	2	5	2
219000	30	2	11	6
327787	51	2	15	11
235000	32	1	10	10
304488	42	2	5	4
510000	68	3	4	2
287000	53	3	4	3
350464	54	3	7	3
790000	240	7	3	NaN
485000	73	4	2	parter
0	35	2	5	2
309000	48	3	4	3
