cena	Powierzchnia w m2	Liczba pokoi	Liczba piÄ™ter w budynku	PiÄ™tro
318954	54	3	8	parter
245641	57	3	4	1
250000	38	2	10	4
320000	57	2	4	4
300000	54	2	4	1
904041	100	3	5	parter
1026526	116	4	4	parter
695000	71	3	5	2
980000	364	6	1	NaN
340000	53	3	11	9
329000	62	3	11	parter
320539	52	3	15	2
619000	120	4	2	NaN
520398	75	4	5	3
299880	58	2	5	parter
470093	59	2	5	3
335000	60	4	4	parter
290000	41	2	NaN	5
228999	38	2	10	10
269000	36	1	4	1
495723	82	4	15	9
245000	45	2	3	3
220500	31	1	5	4
224500	40	1	4	parter
309741	44	2	5	3
299000	48	2	5	2
0	67	4	7	7
346624	54	3	7	2
379000	72	3	15	1
380931	66	3	3	3
299000	59	2	4	2
284618	41	2	4	3
311696	55	4	5	2
249048	34	2	2	2
383950	54	2	5	4
264400	41	2	6	2
1199000	290	6	4	NaN
535000	73	3	3	3
290387	26	1	5	2
416436	69	3	2	1
455348	56	2	4	parter
305000	45	2	11	9
331945	53	2	5	2
359000	64	3	11	2
245524	41	2	4	1
247220	52	2	5	2
1270000	97	3	2	2
600000	320	7	3	NaN
423000	45	2	5	1
195000	30	1	4	1
410665	71	3	15	2
269000	35	2	5	2
293000	45	3	4	2
337120	60	3	5	3
299000	46	2	15	4
458136	72	3	7	7
368712	56	2	6	1
185232	36	2	5	parter
288000	47	3	4	4
600000	121	4	3	1
289000	55	2	4	3
0	35	2	5	parter
706495	69	3	5	3
245500	40	2	NaN	1
169000	23	1	2	parter
470093	59	2	5	3
335400	51	2	2	1
319000	50	3	4	4
221000	40	1	4	parter
640000	138	4	2	NaN
569000	52	2	4	3
455348	56	2	4	parter
363392	53	2	5	4
275000	38	2	12	1
332000	50	2	4	4
344225	70	3	4	1
485000	165	6	2	NaN
338664	53	3	15	7
699000	228	6	2	NaN
395000	52	2	NaN	NaN
327999	48	3	10	1
337524	51	3	7	4
595000	200	4	3	NaN
545000	105	4	4	3
480000	62	3	2	parter
294906	42	2	4	3
239294	32	1	5	3
550000	172	4	2	NaN
594085	32	2	5	4
230000	36	1	3	1
407000	42	2	8	8
749000	127	6	2	NaN
278000	40	2	4	3
282632	50	3	5	parter
400000	67	3	4	3
345000	55	2	4	3
393120	55	2	5	3
342720	57	3	8	2
307000	65	3	3	3
454420	62	3	5	4
530712	65	3	5	2
335988	49	2	7	1
249000	38	2	16	4
335988	49	2	7	1
530000	77	3	3	3
440000	81	4	4	4
368568	68	3	4	1
1097971	141	3	4	3
1900000	267	7	3	NaN
0	36	2	5	1
268385	41	2	7	1
93000	50	2	3	2
520000	85	4	4	4
409960	67	3	15	1
265000	61	2	1	parter
435000	58	3	6	6
337120	60	3	5	3
590000	180	5	3	NaN
249000	32	1	10	10
328646	53	3	15	5
298248	43	2	5	parter
354000	63	2	4	1
314000	57	3	4	4
495723	82	4	15	9
297420	50	2	16	3
255000	38	2	12	9
321440	57	4	5	1
2250000	369	8	2	NaN
245000	38	2	4	4
370000	48	2	5	1
295362	48	3	8	3
284618	41	2	4	3
405000	77	3	11	2
165000	70	3	2	NaN
364620	61	3	3	2
305000	52	3	9	3
319875	51	2	15	7
316547	41	1	5	1
217561	37	1	4	4
949000	98	3	5	4
285534	44	2	2	1
665000	71	3	5	2
875000	79	3	5	3
175000	27	1	12	8
560000	180	6	3	NaN
510186	73	4	5	3
304865	55	3	3	3
268385	41	2	7	1
442000	58	2	6	4
699000	154	5	2	NaN
397350	44	2	5	2
329000	55	3	4	parter
3000000	11930	4	3	NaN
861000	101	4	5	1
300428	47	3	2	2
288000	47	3	4	parter
335000	48	3	4	4
499000	87	4	3	3
650000	200	6	2	NaN
280000	48	3	4	3
549000	106	3	3	2
328241	53	3	8	2
330000	59	3	4	4
980000	300	8	3	NaN
587000	122	4	4	3
325000	73	2	NaN	NaN
209000	28	1	5	3
355000	66	4	11	parter
378000	78	3	16	2
470000	55	2	4	3
276588	47	2	4	parter
380931	66	3	3	3
411901	57	2	5	1
461041	71	4	5	2
299000	40	2	4	3
669000	102	5	2	2
242400	30	1	5	parter
369000	67	4	3	3
270256	48	2	4	3
0	36	2	7	1
318384	48	3	8	2
336500	54	2	2	parter
421049	72	4	15	3
369000	60	3	4	1
437680	54	2	5	2
260000	38	2	4	1
294906	42	2	4	3
587945	69	3	4	1
282000	47	2	15	4
378465	54	2	NaN	1
379000	64	3	4	parter
167000	66	3	5	5
648000	180	6	4	NaN
249500	40	2	3	1
339000	63	3	4	3
520236	61	3	5	2
209000	35	1	2	parter
293178	51	3	5	4
262136	46	3	5	3
347000	47	3	3	1
249000	42	3	5	4
390000	55	2	5	2
899000	240	5	3	NaN
286000	33	1	5	parter
307156	45	2	5	1
390000	96	4	2	NaN
699000	300	7	3	NaN
340501	28	1	5	4
699000	400	5	4	NaN
397350	44	2	5	2
495000	60	2	3	3
499000	70	3	4	parter
340500	54	2	2	1
520000	100	3	1	parter
320000	37	2	5	5
739000	160	4	2	NaN
237405	35	1	5	parter
307035	55	3	5	4
319000	51	2	3	3
217686	29	2	5	1
374601	56	3	15	12
730000	209	6	3	NaN
585995	82	2	4	parter
0	35	2	5	5
356160	59	4	8	5
499000	153	4	2	NaN
356160	59	4	8	5
240000	55	2	4	parter
282994	54	2	2	parter
690000	200	6	3	NaN
595000	95	4	8	5
250000	47	2	4	1
362880	55	2	5	parter
328588	46	2	5	1
599900	72	3	8	6
318000	53	3	8	1
417700	67	3	2	parter
411901	57	2	5	1
530000	83	4	3	3
299000	45	3	3	3
214378	28	1	5	4
315150	39	1	4	1
395000	68	4	3	3
372000	125	4	3	2
299000	55	2	3	1
564000	120	4	2	NaN
236596	34	2	2	1
333000	65	3	4	4
346949	54	2	15	3
1850000	196	5	1	1
699000	180	5	2	NaN
367000	49	2	5	4
423000	45	2	5	1
520236	61	3	5	2
275000	37	2	4	1
2100000	280	6	3	NaN
277425	40	2	5	1
455348	56	2	4	parter
345000	64	3	11	parter
275000	37	2	4	1
351475	67	3	2	parter
420056	69	3	15	3
237900	32	1	11	parter
375216	61	3	15	3
260876	53	2	5	3
383760	65	3	15	6
669000	210	5	NaN	NaN
367650	31	1	5	3
308237	53	2	2	1
331945	53	2	5	2
193772	30	1	5	3
864244	108	4	8	7
263018	39	2	5	4
435000	60	2	5	2
319875	51	2	15	8
313000	50	2	10	3
330000	49	2	16	13
359502	54	2	5	parter
308237	53	2	2	1
237405	35	1	5	parter
330000	95	3	1	parter
376399	62	3	15	13
299000	60	2	3	2
331471	55	3	3	1
339000	104	5	3	NaN
245000	40	2	4	3
193000	37	2	3	parter
349332	54	3	7	5
236596	34	2	2	1
396416	52	1	5	1
1150000	268	8	2	NaN
417700	67	3	2	parter
260876	53	2	5	3
307035	55	3	5	4
1650000	500	7	2	NaN
405840	71	4	15	3
295362	48	2	8	parter
399000	60	4	3	3
363622	53	3	7	3
1840000	290	7	5	4
396416	52	1	5	1
580000	145	4	2	NaN
340000	63	3	4	2
368568	68	3	4	1
420000	77	2	4	2
236595	34	2	2	1
299000	48	3	4	4
629000	140	4	2	NaN
449000	90	4	2	2
275000	50	2	2	2
449000	90	4	2	2
256872	45	3	5	1
237405	35	1	5	parter
262472	46	3	5	3
484068	62	3	5	3
279000	62	3	4	4
396134	36	1	5	5
307156	45	2	4	1
238747	36	1	14	4
0	35	2	5	1
550000	173	5	3	NaN
316547	50	2	8	5
275000	37	2	4	1
249048	34	2	2	2
280000	46	2	4	4
237405	35	1	5	parter
405000	71	4	4	2
899000	203	7	2	NaN
285000	41	2	4	3
590000	97	4	3	3
249000	42	2	3	NaN
631400	84	3	5	2
0	52	3	8	5
379999	67	3	4	3
283372	45	2	15	14
569000	108	4	4	parter
392607	59	4	7	5
341250	48	2	5	1
369000	69	3	4	1
614500	57	2	16	5
193772	30	1	5	3
270449	41	2	7	parter
237405	35	1	5	parter
260876	53	2	5	3
550000	73	3	7	5
269000	39	1	4	3
279000	49	2	4	2
319200	94	5	3	NaN
351000	52	2	5	2
430000	75	4	1	1
269000	38	2	4	2
329837	59	4	5	3
595000	198	5	2	NaN
495723	82	4	15	9
362945	60	3	15	parter
230000	38	2	4	4
490000	140	4	1	1
993758	81	4	5	5
310584	54	2	2	1
307035	55	3	5	4
599000	98	4	4	2
365000	63	4	4	2
993758	81	4	5	5
268098	49	2	4	parter
265000	48	2	4	parter
177000	26	1	4	1
233386	38	2	5	parter
263581	43	2	8	4
430000	84	5	4	4
319875	51	2	15	8
320000	49	2	11	10
978000	106	4	16	5
360000	62	3	11	11
389013	66	3	5	1
978009	123	4	8	7
274306	46	2	4	2
580000	141	5	1	NaN
262900	42	2	10	parter
595000	170	5	2	NaN
845000	200	4	2	NaN
417700	67	3	2	parter
311488	50	3	3	2
1140000	192	6	1	parter
260876	53	2	5	3
849000	189	5	3	NaN
299000	46	2	10	7
205000	32	1	15	15
279000	42	2	4	parter
449000	97	5	5	3
499000	180	6	2	NaN
674042	88	3	7	2
332000	49	2	4	4
519000	71	3	5	5
213120	33	2	3	2
549000	82	3	4	3
399000	59	2	5	2
282994	54	2	2	parter
264824	47	3	5	3
326245	45	2	5	4
316000	35	1	5	2
341704	56	3	15	9
221918	36	2	5	parter
349000	79	3	16	16
0	25	1	7	parter
415000	65	3	5	1
399000	59	2	4	2
429995	84	5	4	4
274203	44	2	16	4
335000	57	2	4	parter
327000	49	2	5	1
520000	98	4	2	1
282624	50	3	5	2
296310	58	2	5	parter
620000	245	6	3	NaN
300300	46	2	4	parter
225000	32	1	16	9
252000	38	2	4	2
735000	90	3	4	2
597000	56	2	5	5
359000	77	3	2	1
353379	57	3	16	12
550	15	5	NaN	3
610000	78	3	4	1
234288	32	1	5	1
295362	48	2	8	parter
279000	38	2	4	4
368568	68	3	4	4
740000	180	6	2	NaN
332145	54	3	8	1
351475	67	3	2	parter
247000	47	2	4	2
285888	44	2	5	5
520000	91	4	4	1
454000	52	2	5	3
266448	47	3	5	1
125000	22	5	4	3
720000	200	6	3	NaN
280000	29	1	6	2
316740	52	3	8	4
407000	42	2	8	8
990000	335	7	4	NaN
244496	43	3	4	1
282000	47	2	15	4
290195	45	2	5	1
320000	118	4	NaN	1
349000	52	3	4	2
338504	49	1	5	parter
309000	51	2	4	4
339000	49	2	5	2
328241	53	3	8	4
260000	38	2	4	4
957600	136	3	4	parter
552000	55	2	2	parter
0	36	2	5	4
399000	64	3	4	4
280000	47	2	16	4
197336	61	3	1	1
297632	45	2	4	1
340480	53	3	NaN	parter
421440	31	1	4	3
520236	61	3	5	2
375000	86	3	4	parter
237405	35	1	5	parter
215000	30	1	4	4
350506	57	3	16	11
320189	52	3	8	1
417000	64	3	5	1
269000	37	2	10	3
362880	55	2	5	1
450000	100	5	1	parter
329820	54	3	8	2
224000	35	2	4	4
499000	153	4	2	NaN
372211	61	3	15	8
1950000	262	6	NaN	NaN
268385	41	2	7	1
495723	82	4	15	9
0	37	2	5	parter
320992	57	4	5	parter
719290	110	6	2	2
305000	43	2	5	2
520236	61	3	5	2
277425	40	2	5	1
261000	32	1	5	parter
320311	54	3	8	1
308237	53	2	2	1
351000	54	3	5	5
308237	53	2	2	1
307156	45	2	4	1
260876	53	2	5	3
299000	42	2	11	4
543500	106	3	4	2
145000	25	1	NaN	3
211481	29	1	5	2
350875	56	3	5	1
229000	38	2	10	10
669000	200	5	4	NaN
315225	46	2	5	5
455348	56	2	4	parter
409240	67	2	4	3
279328	49	3	4	parter
194000	38	2	5	2
479000	67	3	5	2
330000	60	3	2	parter
220210	36	2	5	parter
1000000	183	6	4	1
395000	40	2	5	5
214171	35	2	5	parter
1250000	72	2	5	1
474912	72	3	14	14
290387	26	1	5	2
389000	67	2	3	parter
277425	40	2	5	1
739000	500	8	4	NaN
504000	50	2	4	parter
507859	58	3	5	1
290195	45	2	5	1
262472	46	3	5	3
410665	71	3	15	2
350000	74	3	4	4
204450	43	2	5	3
273546	46	2	4	3
299513	53	2	2	1
379000	87	3	3	parter
260876	53	2	5	3
563764	58	2	7	3
580000	200	5	4	NaN
320000	40	2	5	parter
475000	85	4	4	4
351475	67	3	2	parter
550000	165	4	2	NaN
430000	72	2	NaN	1
390000	56	2	4	1
277098	55	2	2	parter
289000	62	3	2	1
350464	54	3	7	2
327000	63	3	3	3
327509	55	2	15	7
345000	64	3	11	parter
349000	53	2	5	3
285000	50	2	4	1
311406	43	2	5	4
166000	34	2	4	parter
402135	48	2	5	1
446400	72	4	2	1
375000	79	3	NaN	12
369000	69	3	4	parter
309000	51	3	4	4
138264	46	2	1	parter
336500	54	2	2	parter
376399	62	3	15	10
404261	64	3	15	13
295362	48	2	8	parter
185232	36	2	5	parter
349000	42	2	5	4
265000	42	3	4	4
228000	37	2	4	2
950000	269	6	3	NaN
382950	85	3	1	parter
368568	68	3	4	4
362700	46	2	5	parter
242000	37	2	9	2
220000	32	1	4	parter
320311	54	3	8	4
277098	54	3	2	parter
0	36	2	5	3
269000	37	2	4	3
486000	85	4	3	1
262000	38	2	4	1
282994	54	2	2	parter
352704	53	2	5	parter
310707	45	2	5	2
369000	64	3	10	9
980000	300	7	2	NaN
299600	48	3	4	3
285534	44	2	2	1
950000	180	4	2	NaN
280000	54	3	4	4
350528	54	3	7	4
968500	149	4	5	4
360000	65	2	2	parter
230000	37	2	NaN	5
331226	56	3	3	2
355000	83	3	2	1
368110	64	3	2	2
250000	37	2	4	1
520236	61	3	5	2
339282	55	3	8	7
330000	50	2	3	parter
387000	52	2	2	parter
289000	40	2	5	5
459000	59	2	5	2
360000	65	4	4	4
377652	57	4	7	6
330840	53	2	8	4
307881	51	3	16	parter
360000	77	3	16	16
305670	44	2	7	3
335000	55	3	4	parter
229000	44	2	4	4
380931	66	3	3	3
680000	89	3	1	parter
900000	438	6	2	NaN
471305	72	3	15	12
599000	76	3	4	4
253288	45	3	5	4
424370	66	4	8	3
389000	87	4	1	parter
313000	50	2	4	3
277425	40	2	5	1
355000	56	2	4	1
408430	74	4	5	5
559000	93	4	NaN	NaN
205000	27	1	4	4
245000	47	2	10	8
334000	74	3	10	3
904041	100	3	5	parter
240300	44	2	6	1
250250	33	1	4	1
262136	46	3	5	parter
380931	66	3	3	3
245000	27	1	12	12
329018	53	2	15	parter
320295	48	2	4	2
350506	57	3	16	11
640000	182	5	3	NaN
382074	57	3	3	2
797000	307	6	3	NaN
374601	56	3	15	14
222000	51	1	10	parter
328241	53	3	8	2
368568	68	3	4	4
237405	35	1	5	parter
336500	54	2	2	parter
310000	47	3	4	1
569000	108	4	4	parter
318648	46	2	5	parter
399000	79	3	16	12
495000	86	3	4	2
990000	127	4	2	NaN
710000	189	6	2	NaN
431340	73	4	5	parter
214200	34	1	3	1
604000	71	3	10	5
204450	43	2	5	3
416000	104	6	NaN	2
669552	139	5	3	3
340000	56	2	3	parter
286160	40	2	4	4
257000	38	2	10	8
292307	41	2	5	2
193772	30	1	5	3
335343	71	2	6	parter
0	35	2	5	2
263018	39	2	5	4
370000	74	4	4	2
0	69	3	5	1
1150000	240	8	2	NaN
235000	38	2	12	5
369000	64	3	3	2
299000	43	2	4	4
284082	50	3	5	2
454960	56	2	4	1
253288	45	3	5	4
260000	44	2	2	2
368568	68	3	4	4
0	35	2	5	1
277098	54	3	2	parter
233386	38	2	5	parter
450000	120	4	2	NaN
314000	57	3	4	4
295000	44	2	4	parter
289000	48	2	5	2
286000	49	2	4	4
307428	45	2	5	parter
780000	184	5	NaN	NaN
404261	64	3	15	14
2390000	354	7	3	NaN
170000	30	2	5	2
337524	51	3	7	parter
1950000	270	5	3	NaN
404261	64	3	15	11
274763	44	2	14	7
396416	52	1	5	1
455348	56	2	4	parter
449000	67	3	5	4
346843	57	3	15	1
308237	53	2	2	1
579000	92	2	5	2
240968	43	2	4	1
1400	48	3	4	3
337500	55	1	4	3
266304	36	1	5	3
335000	40	2	4	4
319000	62	3	11	9
198000	31	1	3	parter
252000	48	3	10	1
267984	37	2	5	1
408430	74	4	5	5
354496	55	3	7	1
499000	153	4	2	NaN
598328	74	3	2	parter
218000	45	2	3	3
285000	39	2	5	1
330110	60	3	5	4
2300000	375	6	3	NaN
0	35	2	5	parter
319000	63	3	4	4
259000	38	2	4	4
595000	144	5	3	NaN
292804	41	2	5	2
500000	65	3	4	2
438750	65	3	4	3
277425	40	2	5	1
430000	70	3	3	3
1500000	270	7	3	NaN
326000	65	4	4	4
480000	87	2	4	2
315000	47	3	4	2
299000	41	1	4	1
270449	41	2	7	parter
368568	68	3	4	1
375000	51	2	4	3
262136	46	3	5	parter
318000	60	2	3	2
310584	54	2	2	1
475000	68	2	3	parter
479000	102	4	2	NaN
274764	44	2	14	7
359566	54	2	15	4
416760	60	3	NaN	5
300428	47	3	2	2
380931	66	3	3	3
287504	51	3	4	2
339000	52	3	5	5
363000	64	3	1	parter
350506	57	3	16	11
308237	53	2	2	1
341704	56	3	15	9
284618	41	2	4	3
320311	54	3	8	1
266448	47	3	5	1
290000	51	2	3	3
345000	64	3	11	parter
324069	53	3	15	parter
269000	56	5	5	5
327097	46	2	5	5
246379	40	2	8	parter
279000	62	3	2	1
353266	54	3	7	parter
339995	56	2	4	4
379000	70	2	1	NaN
517995	116	4	4	parter
630000	141	5	4	4
699000	92	3	2	2
1000000	300	6	4	NaN
328476	52	2	14	4
481362	65	3	5	parter
298717	48	2	15	2
570000	158	4	2	NaN
375408	56	3	4	parter
345000	58	1	4	1
350506	57	3	16	11
335000	64	4	11	3
345865	53	3	7	3
400000	82	3	4	1
217500	29	1	5	1
171000	20	1	4	1
205000	30	1	10	9
732000	73	3	3	parter
415000	50	2	4	1
348000	65	3	16	9
405000	70	3	4	2
355000	46	2	4	1
259000	37	2	4	3
329000	52	3	11	9
489464	71	4	7	4
220000	36	2	NaN	parter
256872	45	3	5	1
445000	104	5	2	NaN
255300	34	1	5	4
275000	50	2	2	2
253498	38	2	7	2
259000	35	1	3	1
345000	49	2	4	3
489000	70	3	4	parter
370000	63	2	2	parter
350000	48	2	5	parter
327509	55	2	15	5
349000	60	3	1	NaN
217686	29	1	5	1
290000	41	2	5	5
322490	46	2	5	1
545000	70	3	4	parter
359000	67	3	2	parter
355000	48	2	4	parter
407000	42	2	8	8
770000	73	3	3	1
250000	42	2	10	parter
262472	46	3	5	3
410000	114	5	4	parter
437680	54	2	5	2
274344	48	2	5	2
295362	48	2	8	parter
879000	210	5	3	NaN
455348	56	2	4	parter
249048	34	2	2	2
256816	45	3	5	parter
559000	153	5	2	NaN
225000	27	1	5	4
319875	51	2	15	7
560000	82	3	2	2
990000	155	5	2	NaN
204450	43	2	5	3
336500	54	2	2	parter
266255	48	2	4	2
660000	110	4	2	2
339520	54	3	2	1
1500000	142	4	4	1
440000	61	3	3	2
485000	65	2	3	3
328646	53	3	15	4
149998	78	3	5	3
359000	85	4	1	parter
469500	109	4	3	NaN
150000	28	1	4	parter
289000	40	2	4	parter
290000	42	2	5	5
273616	48	3	5	2
330000	45	2	2	1
368712	56	2	6	1
747000	83	3	12	7
310584	54	2	2	1
349000	95	3	1	1
410665	71	4	16	2
274344	48	2	5	2
335000	54	2	5	2
240000	55	2	4	parter
0	35	2	5	parter
489000	40	1	4	parter
299600	48	3	4	3
297000	130	4	2	NaN
308495	56	4	5	5
325000	64	3	10	parter
265000	38	2	10	4
275000	50	2	3	parter
336940	49	2	13	13
325765	59	4	5	4
650000	249	5	1	NaN
464000	70	3	4	parter
274764	44	2	14	7
285000	59	2	4	2
545000	70	4	4	parter
1200000	268	7	NaN	NaN
1190000	431	6	2	NaN
0	53	3	5	5
368110	64	3	2	2
394582	47	2	5	1
250000	51	2	4	parter
282390	28	2	6	3
308220	70	2	4	3
280112	50	3	6	1
375000	74	3	4	4
279000	53	3	4	4
353438	49	2	5	5
360000	62	3	11	11
319000	48	3	16	13
690000	162	4	2	NaN
313000	49	2	4	3
264000	39	2	4	4
245000	38	2	2	parter
620000	245	6	3	NaN
193772	30	1	5	3
239000	38	2	4	1
233386	38	2	5	parter
379000	68	3	2	2
340032	60	3	5	1
249048	34	2	2	2
290000	53	3	4	3
319000	49	3	4	4
428885	45	2	5	1
369000	67	3	3	parter
198487	31	1	5	3
798000	296	6	2	NaN
335343	71	2	6	parter
2250000	369	8	2	NaN
235000	43	2	4	parter
328241	53	3	8	3
285000	42	2	5	2
318928	51	3	3	1
123000	123	4	4	2
300259	42	2	5	1
350000	59	3	4	2
323400	83	2	5	4
329000	51	2	5	parter
295362	48	3	8	3
430000	75	4	1	1
305361	74	4	1	1
359000	84	4	1	parter
780000	170	4	3	NaN
339000	62	3	4	3
214200	34	1	3	1
204450	43	2	5	3
236595	34	2	2	parter
295362	48	2	8	parter
949000	98	3	5	4
250000	47	2	4	1
638175	85	4	4	3
263018	39	2	5	4
287000	48	3	4	2
193772	30	1	5	3
299000	49	2	3	parter
740000	67	3	NaN	parter
348000	49	2	3	3
520236	62	3	5	2
194000	38	2	5	2
640000	288	6	4	NaN
380000	67	3	4	3
318000	45	1	4	3
208986	34	1	6	3
350000	94	3	1	1
375000	51	2	8	7
383950	54	2	5	4
495723	82	4	15	9
274764	44	2	14	7
297000	75	3	5	5
670000	320	8	2	NaN
375000	79	3	16	12
345240	57	4	8	3
400000	76	2	4	4
585000	99	4	3	3
1200000	165	4	4	3
350000	49	3	4	3
1156054	103	4	4	parter
345000	55	2	4	3
249000	44	2	10	8
369487	56	3	15	9
239000	35	2	4	4
579000	97	4	3	3
420000	60	2	4	3
799000	214	5	3	NaN
278502	48	3	5	2
299000	37	2	5	2
439112	67	3	5	4
354000	46	2	8	8
359084	57	3	15	4
284618	41	2	4	3
495723	82	4	15	9
437680	54	2	5	2
378000	69	4	1	parter
335343	71	2	6	parter
295000	50	2	4	4
374995	70	4	4	parter
385000	42	2	4	3
353438	49	2	5	4
298717	48	2	15	1
260876	53	2	5	3
279328	49	3	4	1
280000	47	2	4	1
325000	47	2	1	parter
550000	117	4	2	NaN
237405	35	1	5	parter
0	63	3	5	1
699000	103	4	NaN	NaN
399000	100	5	1	parter
333000	74	3	4	4
334712	59	4	5	1
479995	154	7	2	NaN
249000	45	2	6	5
240000	46	2	NaN	parter
385000	68	2	3	2
300428	47	3	2	1
520236	61	3	5	2
265155	48	2	4	parter
337303	57	4	8	5
335343	71	2	6	parter
239592	35	2	5	5
372049	60	3	15	6
411901	57	2	5	1
499000	153	4	2	NaN
378000	78	3	16	2
246054	35	1	4	4
799000	122	3	2	NaN
300000	54	2	4	1
298717	48	2	15	3
249048	34	2	2	2
219000	32	1	4	3
